model,stage,steer_layer,relative_depth,source,alpha,mean_kl,margin_shift
qwen2.5-7b,A,12,0.4444,R_control,-1.0,0.21103739738464355,-1.592187523841858
qwen2.5-7b,A,12,0.4444,R_role,1.0,0.3016130328178406,1.2248046398162842
qwen2.5-7b,A,12,0.4444,R_role,-1.0,0.21889790892601013,-0.21035155653953552
qwen2.5-7b,A,13,0.4815,R_harm,1.0,0.9022571444511414,3.638476610183716
qwen2.5-7b,A,13,0.4815,R_harm,-1.0,1.0682471990585327,-2.146289110183716
qwen2.5-7b,A,13,0.4815,R_control,1.0,0.689782977104187,4.813086032867432
qwen2.5-7b,A,13,0.4815,R_control,-1.0,1.0752604007720947,-4.660351753234863
qwen2.5-7b,A,13,0.4815,R_role,1.0,1.5280747413635254,-0.18769530951976776
qwen2.5-7b,A,13,0.4815,R_role,-1.0,0.5342281460762024,0.5263671875
qwen2.5-7b,A,14,0.5185,R_harm,1.0,3.0423524379730225,10.8662109375
qwen2.5-7b,A,14,0.5185,R_harm,-1.0,2.1698153018951416,-4.307421684265137
qwen2.5-7b,A,14,0.5185,R_control,1.0,2.2407240867614746,10.7705078125
qwen2.5-7b,A,14,0.5185,R_control,-1.0,2.9242172241210938,-8.128125190734863
qwen2.5-7b,A,14,0.5185,R_role,1.0,1.042782187461853,0.5521484613418579
qwen2.5-7b,A,14,0.5185,R_role,-1.0,0.5534348487854004,0.5951172113418579
qwen2.5-7b,A,15,0.5556,R_harm,1.0,3.3845760822296143,11.7529296875
qwen2.5-7b,A,15,0.5556,R_harm,-1.0,2.0867958068847656,-4.596484184265137
qwen2.5-7b,A,15,0.5556,R_control,1.0,2.7008156776428223,11.228711128234863
qwen2.5-7b,A,15,0.5556,R_control,-1.0,2.7672998905181885,-9.066210746765137
qwen2.5-7b,A,15,0.5556,R_role,1.0,0.6588979959487915,0.9595702886581421
qwen2.5-7b,A,15,0.5556,R_role,-1.0,0.4535033702850342,0.784960925579071
qwen2.5-7b,A,16,0.5926,R_harm,1.0,4.13674259185791,12.2412109375
qwen2.5-7b,A,16,0.5926,R_harm,-1.0,1.888305425643921,-4.5419921875
