model,concept,factor,level_a,level_b,layer,cosine,split_half_floor,at_floor
qwen2.5-7b,R_role_tool_vs_user,source,advbench,alpaca,12,0.8539043068885803,0.987372487783432,False
qwen2.5-7b,R_role_tool_vs_user,source,advbench,jbb,12,0.9740013480186462,0.987372487783432,False
qwen2.5-7b,R_role_tool_vs_user,source,advbench,sorry-bench,12,0.9203715324401855,0.987372487783432,False
qwen2.5-7b,R_role_tool_vs_user,source,advbench,xstest_safe,12,0.8307521343231201,0.987372487783432,False
qwen2.5-7b,R_role_tool_vs_user,source,alpaca,jbb,12,0.8097787499427795,0.987372487783432,False
qwen2.5-7b,R_role_tool_vs_user,source,alpaca,sorry-bench,12,0.882151186466217,0.987372487783432,False
qwen2.5-7b,R_role_tool_vs_user,source,alpaca,xstest_safe,12,0.9021492004394531,0.987372487783432,False
qwen2.5-7b,R_role_tool_vs_user,source,jbb,sorry-bench,12,0.9229228496551514,0.987372487783432,False
qwen2.5-7b,R_role_tool_vs_user,source,jbb,xstest_safe,12,0.807751476764679,0.987372487783432,False
qwen2.5-7b,R_role_tool_vs_user,source,sorry-bench,xstest_safe,12,0.8735039234161377,0.987372487783432,False
qwen2.5-7b,R_harm,source_pair,advbench|alpaca,advbench|xstest_safe,16,0.8552153706550598,0.9873148649930954,False
qwen2.5-7b,R_harm,source_pair,advbench|alpaca,jbb|alpaca,16,0.9251422882080078,0.9873148649930954,False
qwen2.5-7b,R_harm,source_pair,advbench|alpaca,jbb|xstest_safe,16,0.7718445658683777,0.9873148649930954,False
qwen2.5-7b,R_harm,source_pair,advbench|alpaca,sorry-bench|alpaca,16,0.24085164070129395,0.9873148649930954,False
qwen2.5-7b,R_harm,source_pair,advbench|alpaca,sorry-bench|xstest_safe,16,0.1382826864719391,0.9873148649930954,False
qwen2.5-7b,R_harm,source_pair,advbench|xstest_safe,jbb|alpaca,16,0.7828212976455688,0.9873148649930954,False
qwen2.5-7b,R_harm,source_pair,advbench|xstest_safe,jbb|xstest_safe,16,0.9403457641601562,0.9873148649930954,False
qwen2.5-7b,R_harm,source_pair,advbench|xstest_safe,sorry-bench|alpaca,16,0.04504337161779404,0.9873148649930954,False
qwen2.5-7b,R_harm,source_pair,advbench|xstest_safe,sorry-bench|xstest_safe,16,0.428286612033844,0.9873148649930954,False
qwen2.5-7b,R_harm,source_pair,jbb|alpaca,jbb|xstest_safe,16,0.8321753740310669,0.9873148649930954,False
qwen2.5-7b,R_harm,source_pair,jbb|alpaca,sorry-bench|alpaca,16,0.23320750892162323,0.9873148649930954,False
qwen2.5-7b,R_harm,source_pair,jbb|alpaca,sorry-bench|xstest_safe,16,0.12287314981222153,0.9873148649930954,False
qwen2.5-7b,R_harm,source_pair,jbb|xstest_safe,sorry-bench|alpaca,16,0.02271941676735878,0.9873148649930954,False
qwen2.5-7b,R_harm,source_pair,jbb|xstest_safe,sorry-bench|xstest_safe,16,0.43426254391670227,0.9873148649930954,False
qwen2.5-7b,R_harm,source_pair,sorry-bench|alpaca,sorry-bench|xstest_safe,16,0.5733820796012878,0.9873148649930954,False
qwen2.5-7b,R_harm,category,,Disinformation,16,0.7515382170677185,0.9379065334796906,False
qwen2.5-7b,R_harm,category,,Economic harm,16,0.8192005753517151,0.9379065334796906,False
qwen2.5-7b,R_harm,category,,Expert advice,16,0.8327329158782959,0.9379065334796906,False
qwen2.5-7b,R_harm,category,,Fraud/Deception,16,0.7464242577552795,0.9379065334796906,False
qwen2.5-7b,R_harm,category,,Government decision-making,16,0.7845039367675781,0.9379065334796906,False
qwen2.5-7b,R_harm,category,,Harassment/Discrimination,16,0.7554758787155151,0.9379065334796906,False
qwen2.5-7b,R_harm,category,,Malware/Hacking,16,0.8269549608230591,0.9379065334796906,False
qwen2.5-7b,R_harm,category,,Physical harm,16,0.7359010577201843,0.9379065334796906,False
qwen2.5-7b,R_harm,category,,Privacy,16,0.7047789096832275,0.9379065334796906,False
qwen2.5-7b,R_harm,category,,Sexual/Adult content,16,0.7171441316604614,0.9379065334796906,False
qwen2.5-7b,R_harm,category,,cat1,16,0.20423442125320435,0.9379065334796906,False
qwen2.5-7b,R_harm,category,,cat10,16,0.2505245804786682,0.9379065334796906,False
qwen2.5-7b,R_harm,category,,cat11,16,0.17137932777404785,0.9379065334796906,False
qwen2.5-7b,R_harm,category,,cat12,16,0.20388856530189514,0.9379065334796906,False
qwen2.5-7b,R_harm,category,,cat14,16,0.17667409777641296,0.9379065334796906,False
qwen2.5-7b,R_harm,category,,cat22,16,0.21079054474830627,0.9379065334796906,False
qwen2.5-7b,R_harm,category,,cat23,16,0.19925278425216675,0.9379065334796906,False
qwen2.5-7b,R_harm,category,,cat24,16,0.19971702992916107,0.9379065334796906,False
qwen2.5-7b,R_harm,category,,cat27,16,0.20576155185699463,0.9379065334796906,False
qwen2.5-7b,R_harm,category,,cat28,16,0.16762462258338928,0.9379065334796906,False
qwen2.5-7b,R_harm,category,,cat32,16,0.14367574453353882,0.9379065334796906,False
qwen2.5-7b,R_harm,category,,cat39,16,0.228338822722435,0.9379065334796906,False
qwen2.5-7b,R_harm,category,,cat44,16,0.09472785890102386,0.9379065334796906,False
qwen2.5-7b,R_harm,category,,cat7,16,0.09069854766130447,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Disinformation,Economic harm,16,0.6912186145782471,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Disinformation,Expert advice,16,0.6831392049789429,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Disinformation,Fraud/Deception,16,0.617641806602478,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Disinformation,Government decision-making,16,0.6211795806884766,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Disinformation,Harassment/Discrimination,16,0.6936860084533691,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Disinformation,Malware/Hacking,16,0.6347028017044067,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Disinformation,Physical harm,16,0.6122796535491943,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Disinformation,Privacy,16,0.582412600517273,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Disinformation,Sexual/Adult content,16,0.5804468393325806,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Disinformation,cat1,16,0.10355255752801895,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Disinformation,cat10,16,0.07608510553836823,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Disinformation,cat11,16,0.05258718132972717,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Disinformation,cat12,16,0.06795772910118103,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Disinformation,cat14,16,0.07811526954174042,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Disinformation,cat22,16,0.09984584152698517,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Disinformation,cat23,16,0.09242585301399231,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Disinformation,cat24,16,0.13204361498355865,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Disinformation,cat27,16,0.1627831757068634,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Disinformation,cat28,16,0.1351531594991684,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Disinformation,cat32,16,0.037957847118377686,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Disinformation,cat39,16,0.16679543256759644,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Disinformation,cat44,16,0.026250816881656647,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Disinformation,cat7,16,-0.003202715888619423,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Economic harm,Expert advice,16,0.755773663520813,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Economic harm,Fraud/Deception,16,0.7324029207229614,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Economic harm,Government decision-making,16,0.7711743116378784,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Economic harm,Harassment/Discrimination,16,0.7376622557640076,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Economic harm,Malware/Hacking,16,0.7049216032028198,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Economic harm,Physical harm,16,0.6368332505226135,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Economic harm,Privacy,16,0.6645896434783936,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Economic harm,Sexual/Adult content,16,0.5779114365577698,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Economic harm,cat1,16,0.17480173707008362,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Economic harm,cat10,16,0.1370185911655426,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Economic harm,cat11,16,0.1023685485124588,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Economic harm,cat12,16,0.09753312170505524,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Economic harm,cat14,16,0.1949615627527237,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Economic harm,cat22,16,0.10637833923101425,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Economic harm,cat23,16,0.1408127248287201,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Economic harm,cat24,16,0.19435584545135498,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Economic harm,cat27,16,0.18515324592590332,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Economic harm,cat28,16,0.11989295482635498,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Economic harm,cat32,16,0.11490656435489655,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Economic harm,cat39,16,0.18542297184467316,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Economic harm,cat44,16,0.13032038509845734,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Economic harm,cat7,16,0.060738369822502136,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Expert advice,Fraud/Deception,16,0.6673879027366638,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Expert advice,Government decision-making,16,0.7064900398254395,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Expert advice,Harassment/Discrimination,16,0.7037574052810669,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Expert advice,Malware/Hacking,16,0.7113338708877563,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Expert advice,Physical harm,16,0.6666668057441711,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Expert advice,Privacy,16,0.6473895907402039,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Expert advice,Sexual/Adult content,16,0.694740891456604,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Expert advice,cat1,16,0.10336973518133163,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Expert advice,cat10,16,0.1516670286655426,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Expert advice,cat11,16,0.09782937914133072,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Expert advice,cat12,16,0.12613937258720398,0.9379065334796906,False
qwen2.5-7b,R_harm,category,Expert advice,cat14,16,0.10392557829618454,0.9379065334796906,False
