model,concept,layer,n_strata,r_eff_stratified,auc_after_projecting_out_top1,mean_pairwise_cos
qwen2.5-7b,R_harm,16,24,3.3043835163116455,0.490734726190567,0.9840291142463684
qwen2.5-7b,R_harm_user,16,21,15.141944885253906,0.473288893699646,0.9837406277656555
qwen2.5-7b,R_control,25,26,4.939452171325684,0.4975341558456421,0.9709106087684631
qwen2.5-7b,R_harm_at_post,16,24,2.795182704925537,0.502171516418457,0.9760624766349792
qwen2.5-7b,R_control_harmless,27,26,4.437956809997559,0.6186846494674683,0.9000417590141296
qwen2.5-7b,R_control_unbalanced,25,26,4.939452171325684,0.5168768763542175,0.9709106087684631
qwen2.5-7b,R_control_preguard,20,27,3.6224849224090576,0.6075314879417419,0.9609683156013489
