model,concept,layer,n_strata,r_eff_stratified,auc_after_projecting_out_top1,mean_pairwise_cos
qwen3.5-9b,R_harm,16,24,2.3575921058654785,0.4747854173183441,0.9834973812103271
qwen3.5-9b,R_harm_user,16,21,14.440162658691406,0.5001333355903625,0.982685923576355
qwen3.5-9b,R_harm_at_post,28,24,3.2744967937469482,0.4964374899864197,0.9918736219406128
qwen3.5-9b,R_control_harmless,28,26,3.284271240234375,0.5765138268470764,0.895786464214325
qwen3.5-9b,R_control_preguard,30,26,4.610255241394043,0.5663877129554749,0.9517688751220703
