model,concept,factor,level_a,level_b,layer,cosine,split_half_floor,at_floor
qwen3.5-9b,R_harm,category,Disinformation,cat10,16,0.09133245795965195,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Disinformation,cat11,16,0.1237928718328476,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Disinformation,cat12,16,0.10064379870891571,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Disinformation,cat14,16,0.05025510489940643,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Disinformation,cat22,16,0.08635547012090683,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Disinformation,cat23,16,0.1337803453207016,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Disinformation,cat24,16,0.16483543813228607,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Disinformation,cat27,16,0.20253503322601318,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Disinformation,cat28,16,0.13464781641960144,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Disinformation,cat32,16,0.06045369803905487,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Disinformation,cat39,16,0.20240840315818787,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Disinformation,cat44,16,0.08615518361330032,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Disinformation,cat7,16,0.01967111974954605,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Economic harm,Expert advice,16,0.7464413046836853,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Economic harm,Fraud/Deception,16,0.7453159093856812,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Economic harm,Government decision-making,16,0.7464123964309692,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Economic harm,Harassment/Discrimination,16,0.7410393953323364,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Economic harm,Malware/Hacking,16,0.675254762172699,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Economic harm,Physical harm,16,0.6199586391448975,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Economic harm,Privacy,16,0.6779394745826721,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Economic harm,Sexual/Adult content,16,0.5272525548934937,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Economic harm,cat1,16,0.17694306373596191,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Economic harm,cat10,16,0.14320272207260132,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Economic harm,cat11,16,0.15960875153541565,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Economic harm,cat12,16,0.10849343240261078,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Economic harm,cat14,16,0.163533553481102,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Economic harm,cat22,16,0.05816161632537842,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Economic harm,cat23,16,0.13953468203544617,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Economic harm,cat24,16,0.20120832324028015,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Economic harm,cat27,16,0.19400227069854736,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Economic harm,cat28,16,0.09690242260694504,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Economic harm,cat32,16,0.146810382604599,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Economic harm,cat39,16,0.16580769419670105,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Economic harm,cat44,16,0.20181673765182495,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Economic harm,cat7,16,0.056489937007427216,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Expert advice,Fraud/Deception,16,0.6635342836380005,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Expert advice,Government decision-making,16,0.6680078506469727,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Expert advice,Harassment/Discrimination,16,0.707344114780426,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Expert advice,Malware/Hacking,16,0.6846667528152466,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Expert advice,Physical harm,16,0.6436877250671387,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Expert advice,Privacy,16,0.6306766271591187,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Expert advice,Sexual/Adult content,16,0.6788386106491089,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Expert advice,cat1,16,0.08938584476709366,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Expert advice,cat10,16,0.1678861528635025,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Expert advice,cat11,16,0.14237116277217865,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Expert advice,cat12,16,0.15263041853904724,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Expert advice,cat14,16,0.058646310120821,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Expert advice,cat22,16,0.11557978391647339,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Expert advice,cat23,16,0.1358570158481598,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Expert advice,cat24,16,0.1343185156583786,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Expert advice,cat27,16,0.19324345886707306,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Expert advice,cat28,16,0.09084810316562653,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Expert advice,cat32,16,0.08362624049186707,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Expert advice,cat39,16,0.17755097150802612,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Expert advice,cat44,16,0.07553436607122421,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Expert advice,cat7,16,0.05072213336825371,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Fraud/Deception,Government decision-making,16,0.685187578201294,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Fraud/Deception,Harassment/Discrimination,16,0.6719520092010498,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Fraud/Deception,Malware/Hacking,16,0.6834906935691833,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Fraud/Deception,Physical harm,16,0.5546632409095764,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Fraud/Deception,Privacy,16,0.6213589906692505,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Fraud/Deception,Sexual/Adult content,16,0.4961438477039337,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Fraud/Deception,cat1,16,0.1914941966533661,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Fraud/Deception,cat10,16,0.16915106773376465,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Fraud/Deception,cat11,16,0.13074901700019836,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Fraud/Deception,cat12,16,0.10290919244289398,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Fraud/Deception,cat14,16,0.142030730843544,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Fraud/Deception,cat22,16,0.05199602246284485,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Fraud/Deception,cat23,16,0.14825165271759033,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Fraud/Deception,cat24,16,0.15755152702331543,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Fraud/Deception,cat27,16,0.17038562893867493,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Fraud/Deception,cat28,16,0.08505845814943314,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Fraud/Deception,cat32,16,0.17879287898540497,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Fraud/Deception,cat39,16,0.14904843270778656,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Fraud/Deception,cat44,16,0.16796568036079407,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Fraud/Deception,cat7,16,0.04042303189635277,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Government decision-making,Harassment/Discrimination,16,0.6824837327003479,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Government decision-making,Malware/Hacking,16,0.6696552038192749,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Government decision-making,Physical harm,16,0.6046165227890015,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Government decision-making,Privacy,16,0.6123820543289185,0.9343568682670593,False
qwen3.5-9b,R_harm,category,Government decision-making,Sexual/Adult content,16,0.46782946586608887,0.9343568682670593,False
