model,stage,steer_layer,read_layer,source,target,alpha,abs_alpha,delta,ci_low,ci_high,delta_auc,mean_kl,kl_harmless,random_kl_harmless,content_ratio,refusal_rate,d_refusal,d_refusal_harmful,d_refusal_harmless,margin_shift,class_gap
qwen3.5-9b,C,7,8,R_harm,R_harm,0.25,0.25,0.22842653095722198,0.22603458315134048,0.23075968213379383,0.0004000067710876465,0.0025741844438016415,0.0049309819005429745,0.0025808495556702837,1.9106041612186602,0.49,0.010000000000000009,0.0,0.02,0.09718749672174454,1.976116418838501
qwen3.5-9b,C,7,8,R_harm,R_control,0.25,0.25,-0.046143822371959686,-0.048700814694166185,-0.04362788023427129,-0.0040000081062316895,0.0025741844438016415,0.0049309819005429745,0.0025808495556702837,1.9106041612186602,0.49,0.010000000000000009,0.0,0.02,0.09718749672174454,1.0689592361450195
qwen3.5-9b,C,7,8,R_harm,R_role,0.25,0.25,-0.023090271279215813,-0.02371999965980649,-0.022450652811676262,0.007999986410140991,0.0025741844438016415,0.0049309819005429745,0.0025808495556702837,1.9106041612186602,0.49,0.010000000000000009,0.0,0.02,0.09718749672174454,4.93510103225708
qwen3.5-9b,C,7,19,R_harm,R_harm,0.25,0.25,0.005828531924635172,0.0035583906690590085,0.00827333154156804,-0.0012000203132629395,0.0025741844438016415,0.0049309819005429745,0.0025808495556702837,1.9106041612186602,0.49,0.010000000000000009,0.0,0.02,0.09718749672174454,23.36080551147461
qwen3.5-9b,C,7,19,R_harm,R_control,0.25,0.25,0.0021840762346982956,-0.0010804371966514736,0.005665899615269153,-0.0004000067710876465,0.0025741844438016415,0.0049309819005429745,0.0025808495556702837,1.9106041612186602,0.49,0.010000000000000009,0.0,0.02,0.09718749672174454,15.32968807220459
qwen3.5-9b,C,7,19,R_harm,R_role,0.25,0.25,-0.008440366014838219,-0.011779357399791478,-0.004997054801788182,-0.010399997234344482,0.0025741844438016415,0.0049309819005429745,0.0025808495556702837,1.9106041612186602,0.49,0.010000000000000009,0.0,0.02,0.09718749672174454,12.593536376953125
qwen3.5-9b,C,7,31,R_harm,R_harm,0.25,0.25,0.005384813528507948,0.003648712229914963,0.007444926316384225,-0.0004000067710876465,0.0025741844438016415,0.0049309819005429745,0.0025808495556702837,1.9106041612186602,0.49,0.010000000000000009,0.0,0.02,0.09718749672174454,118.91390991210938
qwen3.5-9b,C,7,31,R_harm,R_control,0.25,0.25,0.005909128114581108,0.0035298138041980564,0.00882718360517174,-0.0003999471664428711,0.0025741844438016415,0.0049309819005429745,0.0025808495556702837,1.9106041612186602,0.49,0.010000000000000009,0.0,0.02,0.09718749672174454,76.66504669189453
qwen3.5-9b,C,7,31,R_harm,R_role,0.25,0.25,-0.003078789683058858,-0.006704513903241604,0.00043009127257391376,-0.0012000203132629395,0.0025741844438016415,0.0049309819005429745,0.0025808495556702837,1.9106041612186602,0.49,0.010000000000000009,0.0,0.02,0.09718749672174454,60.2837028503418
qwen3.5-9b,C,7,8,R_harm,R_harm,-0.25,0.25,-0.23046396672725677,-0.23248629756271838,-0.22843497358262538,0.0,0.004006020724773407,0.007646879646927118,0.0025808495556702837,2.962931190671869,0.48,0.0,0.0,0.0,-0.12031249701976776,1.976116418838501
qwen3.5-9b,C,7,8,R_harm,R_control,-0.25,0.25,0.04271388426423073,0.04003445440903306,0.045213865023106335,0.0031999945640563965,0.004006020724773407,0.007646879646927118,0.0025808495556702837,2.962931190671869,0.48,0.0,0.0,0.0,-0.12031249701976776,1.0689592361450195
qwen3.5-9b,C,7,8,R_harm,R_role,-0.25,0.25,0.024181509390473366,0.023574254615232347,0.024807754065841438,-0.010399997234344482,0.004006020724773407,0.007646879646927118,0.0025808495556702837,2.962931190671869,0.48,0.0,0.0,0.0,-0.12031249701976776,4.93510103225708
qwen3.5-9b,C,7,19,R_harm,R_harm,-0.25,0.25,-0.0071523552760481834,-0.009398987772874534,-0.004925099085085096,0.000800013542175293,0.004006020724773407,0.007646879646927118,0.0025808495556702837,2.962931190671869,0.48,0.0,0.0,0.0,-0.12031249701976776,23.36080551147461
qwen3.5-9b,C,7,19,R_harm,R_control,-0.25,0.25,-0.004077286925166845,-0.0074610889190807935,-0.0008086339264991706,0.001600027084350586,0.004006020724773407,0.007646879646927118,0.0025808495556702837,2.962931190671869,0.48,0.0,0.0,0.0,-0.12031249701976776,15.32968807220459
qwen3.5-9b,C,7,19,R_harm,R_role,-0.25,0.25,0.004919110331684351,0.0014375994796864688,0.008117544976994394,0.012400031089782715,0.004006020724773407,0.007646879646927118,0.0025808495556702837,2.962931190671869,0.48,0.0,0.0,0.0,-0.12031249701976776,12.593536376953125
qwen3.5-9b,C,7,31,R_harm,R_harm,-0.25,0.25,-0.0060630422085523605,-0.008171445969492198,-0.004273531166836623,0.0,0.004006020724773407,0.007646879646927118,0.0025808495556702837,2.962931190671869,0.48,0.0,0.0,0.0,-0.12031249701976776,118.91390991210938
qwen3.5-9b,C,7,31,R_harm,R_control,-0.25,0.25,-0.0066752140410244465,-0.01005122580099851,-0.004154136683791877,0.0012000203132629395,0.004006020724773407,0.007646879646927118,0.0025808495556702837,2.962931190671869,0.48,0.0,0.0,0.0,-0.12031249701976776,76.66504669189453
qwen3.5-9b,C,7,31,R_harm,R_role,-0.25,0.25,0.00022261831327341497,-0.004058859799988568,0.004335183429066091,0.0067999958992004395,0.004006020724773407,0.007646879646927118,0.0025808495556702837,2.962931190671869,0.48,0.0,0.0,0.0,-0.12031249701976776,60.2837028503418
qwen3.5-9b,C,7,8,R_harm,R_harm,0.5,0.5,0.44912758469581604,0.44424994066357615,0.4541552685201168,0.0004000067710876465,0.009209191426634789,0.01767408289015293,0.007937832648167387,2.226562800392795,0.49,0.010000000000000009,0.0,0.02,0.2265625,1.976116418838501
qwen3.5-9b,C,7,8,R_harm,R_control,0.5,0.5,-0.08670257776975632,-0.09121035281568765,-0.08192099630832672,-0.006400018930435181,0.009209191426634789,0.01767408289015293,0.007937832648167387,2.226562800392795,0.49,0.010000000000000009,0.0,0.02,0.2265625,1.0689592361450195
qwen3.5-9b,C,7,8,R_harm,R_role,0.5,0.5,-0.04517616331577301,-0.046419219207018615,-0.043920282274484634,0.021600008010864258,0.009209191426634789,0.01767408289015293,0.007937832648167387,2.226562800392795,0.49,0.010000000000000009,0.0,0.02,0.2265625,4.93510103225708
qwen3.5-9b,C,7,19,R_harm,R_harm,0.5,0.5,0.01071818545460701,0.006262887176126242,0.015345509862527248,-0.0012000203132629395,0.009209191426634789,0.01767408289015293,0.007937832648167387,2.226562800392795,0.49,0.010000000000000009,0.0,0.02,0.2265625,23.36080551147461
qwen3.5-9b,C,7,19,R_harm,R_control,0.5,0.5,0.0029027496930211782,-0.0034579018072690816,0.009344332036562252,-0.0023999810218811035,0.009209191426634789,0.01767408289015293,0.007937832648167387,2.226562800392795,0.49,0.010000000000000009,0.0,0.02,0.2265625,15.32968807220459
qwen3.5-9b,C,7,19,R_harm,R_role,0.5,0.5,-0.019173525273799896,-0.024486688850447535,-0.013814146607182923,-0.02120000123977661,0.009209191426634789,0.01767408289015293,0.007937832648167387,2.226562800392795,0.49,0.010000000000000009,0.0,0.02,0.2265625,12.593536376953125
qwen3.5-9b,C,7,31,R_harm,R_harm,0.5,0.5,0.010871200822293758,0.007346724800299853,0.01492262550164014,-0.0012000203132629395,0.009209191426634789,0.01767408289015293,0.007937832648167387,2.226562800392795,0.49,0.010000000000000009,0.0,0.02,0.2265625,118.91390991210938
qwen3.5-9b,C,7,31,R_harm,R_control,0.5,0.5,0.010580459609627724,0.005973622913006693,0.01624711542390286,-0.001999974250793457,0.009209191426634789,0.01767408289015293,0.007937832648167387,2.226562800392795,0.49,0.010000000000000009,0.0,0.02,0.2265625,76.66504669189453
qwen3.5-9b,C,7,31,R_harm,R_role,0.5,0.5,-0.0043828594498336315,-0.010828688880428672,0.001976494042901322,-0.005199998617172241,0.009209191426634789,0.01767408289015293,0.007937832648167387,2.226562800392795,0.49,0.010000000000000009,0.0,0.02,0.2265625,60.2837028503418
qwen3.5-9b,C,7,8,R_harm,R_harm,-0.5,0.5,-0.45796138048171997,-0.4614955440163612,-0.45445327162742616,0.0004000067710876465,0.01486931648105383,0.028451338410377502,0.007937832648167387,3.584270375988096,0.48,0.0,0.0,0.0,-0.25593748688697815,1.976116418838501
qwen3.5-9b,C,7,8,R_harm,R_control,-0.5,0.5,0.07480242848396301,0.07025110721588135,0.07907190825790167,0.004799991846084595,0.01486931648105383,0.028451338410377502,0.007937832648167387,3.584270375988096,0.48,0.0,0.0,0.0,-0.25593748688697815,1.0689592361450195
qwen3.5-9b,C,7,8,R_harm,R_role,-0.5,0.5,0.049656543880701065,0.04854299919679761,0.050815234612673524,-0.020799994468688965,0.01486931648105383,0.028451338410377502,0.007937832648167387,3.584270375988096,0.48,0.0,0.0,0.0,-0.25593748688697815,4.93510103225708
qwen3.5-9b,C,7,19,R_harm,R_harm,-0.5,0.5,-0.01510126143693924,-0.019837879249826072,-0.010648449952714146,0.000800013542175293,0.01486931648105383,0.028451338410377502,0.007937832648167387,3.584270375988096,0.48,0.0,0.0,0.0,-0.25593748688697815,23.36080551147461
qwen3.5-9b,C,7,19,R_harm,R_control,-0.5,0.5,-0.00917793344706297,-0.01590459905564785,-0.002684814209351322,0.00279998779296875,0.01486931648105383,0.028451338410377502,0.007937832648167387,3.584270375988096,0.48,0.0,0.0,0.0,-0.25593748688697815,15.32968807220459
qwen3.5-9b,C,7,19,R_harm,R_role,-0.5,0.5,0.009985116310417652,0.0037552170921117066,0.01602068780921399,0.026000022888183594,0.01486931648105383,0.028451338410377502,0.007937832648167387,3.584270375988096,0.48,0.0,0.0,0.0,-0.25593748688697815,12.593536376953125
qwen3.5-9b,C,7,31,R_harm,R_harm,-0.5,0.5,-0.013051808811724186,-0.016824215510860087,-0.009687305288389327,0.0012000203132629395,0.01486931648105383,0.028451338410377502,0.007937832648167387,3.584270375988096,0.48,0.0,0.0,0.0,-0.25593748688697815,118.91390991210938
qwen3.5-9b,C,7,31,R_harm,R_control,-0.5,0.5,-0.01394390594214201,-0.020521531719714402,-0.00884447302669287,0.0020000338554382324,0.01486931648105383,0.028451338410377502,0.007937832648167387,3.584270375988096,0.48,0.0,0.0,0.0,-0.25593748688697815,76.66504669189453
qwen3.5-9b,C,7,31,R_harm,R_role,-0.5,0.5,0.001058728201314807,-0.0063660632818937305,0.008252708800137041,0.01479998230934143,0.01486931648105383,0.028451338410377502,0.007937832648167387,3.584270375988096,0.48,0.0,0.0,0.0,-0.25593748688697815,60.2837028503418
qwen3.5-9b,C,7,8,R_harm,R_harm,1.0,1.0,0.8856223225593567,0.873794624209404,0.897659307718277,0.0,0.02961072139441967,0.056652363389730453,0.02956344257108867,1.916297916032728,0.49,0.010000000000000009,0.0,0.02,0.42625001072883606,1.976116418838501
qwen3.5-9b,C,7,8,R_harm,R_control,1.0,1.0,-0.18879224359989166,-0.1983090430498123,-0.17854879088699818,-0.010399997234344482,0.02961072139441967,0.056652363389730453,0.02956344257108867,1.916297916032728,0.49,0.010000000000000009,0.0,0.02,0.42625001072883606,1.0689592361450195
qwen3.5-9b,C,7,8,R_harm,R_role,1.0,1.0,-0.08582404255867004,-0.08831076752394437,-0.08339536637067795,0.03720000386238098,0.02961072139441967,0.056652363389730453,0.02956344257108867,1.916297916032728,0.49,0.010000000000000009,0.0,0.02,0.42625001072883606,4.93510103225708
qwen3.5-9b,C,7,19,R_harm,R_harm,1.0,1.0,0.016278665512800217,0.0076870124088600274,0.024867635918781144,-0.0015999674797058105,0.02961072139441967,0.056652363389730453,0.02956344257108867,1.916297916032728,0.49,0.010000000000000009,0.0,0.02,0.42625001072883606,23.36080551147461
qwen3.5-9b,C,7,19,R_harm,R_control,1.0,1.0,-0.0017386926338076591,-0.013318250840529799,0.010387916211038815,-0.0040000081062316895,0.02961072139441967,0.056652363389730453,0.02956344257108867,1.916297916032728,0.49,0.010000000000000009,0.0,0.02,0.42625001072883606,15.32968807220459
qwen3.5-9b,C,7,19,R_harm,R_role,1.0,1.0,-0.043011970818042755,-0.05210467725992203,-0.03352624382823706,-0.035999953746795654,0.02961072139441967,0.056652363389730453,0.02956344257108867,1.916297916032728,0.49,0.010000000000000009,0.0,0.02,0.42625001072883606,12.593536376953125
qwen3.5-9b,C,7,31,R_harm,R_harm,1.0,1.0,0.017564792186021805,0.011308401124551892,0.024638974899426097,-0.001600027084350586,0.02961072139441967,0.056652363389730453,0.02956344257108867,1.916297916032728,0.49,0.010000000000000009,0.0,0.02,0.42625001072883606,118.91390991210938
qwen3.5-9b,C,7,31,R_harm,R_control,1.0,1.0,0.017816608771681786,0.00947425002232194,0.027977152587845916,-0.0031999945640563965,0.02961072139441967,0.056652363389730453,0.02956344257108867,1.916297916032728,0.49,0.010000000000000009,0.0,0.02,0.42625001072883606,76.66504669189453
qwen3.5-9b,C,7,31,R_harm,R_role,1.0,1.0,-0.005683037452399731,-0.017324143927544354,0.005889472225680938,-0.0040000081062316895,0.02961072139441967,0.056652363389730453,0.02956344257108867,1.916297916032728,0.49,0.010000000000000009,0.0,0.02,0.42625001072883606,60.2837028503418
qwen3.5-9b,C,7,8,R_harm,R_harm,-1.0,1.0,-0.9208396673202515,-0.9280040115118027,-0.9137986436486244,-0.0004000067710876465,0.058538440614938736,0.11153795570135117,0.02956344257108867,3.772833810986167,0.48,0.0,0.0,0.0,-0.535937488079071,1.976116418838501
qwen3.5-9b,C,7,8,R_harm,R_control,-1.0,1.0,0.14369803667068481,0.13445846624672414,0.15213230922818183,0.013199985027313232,0.058538440614938736,0.11153795570135117,0.02956344257108867,3.772833810986167,0.48,0.0,0.0,0.0,-0.535937488079071,1.0689592361450195
qwen3.5-9b,C,7,8,R_harm,R_role,-1.0,1.0,0.1030891016125679,0.10105391796678305,0.10518698934465646,-0.03880000114440918,0.058538440614938736,0.11153795570135117,0.02956344257108867,3.772833810986167,0.48,0.0,0.0,0.0,-0.535937488079071,4.93510103225708
qwen3.5-9b,C,7,19,R_harm,R_harm,-1.0,1.0,-0.03369313105940819,-0.04330151528120041,-0.02409064900130034,0.0012000203132629395,0.058538440614938736,0.11153795570135117,0.02956344257108867,3.772833810986167,0.48,0.0,0.0,0.0,-0.535937488079071,23.36080551147461
qwen3.5-9b,C,7,19,R_harm,R_control,-1.0,1.0,-0.02323799394071102,-0.037313771154731515,-0.009609224135056141,0.0031999945640563965,0.058538440614938736,0.11153795570135117,0.02956344257108867,3.772833810986167,0.48,0.0,0.0,0.0,-0.535937488079071,15.32968807220459
qwen3.5-9b,C,7,19,R_harm,R_role,-1.0,1.0,0.01700066775083542,0.004409355798270553,0.028976991865783928,0.03800004720687866,0.058538440614938736,0.11153795570135117,0.02956344257108867,3.772833810986167,0.48,0.0,0.0,0.0,-0.535937488079071,12.593536376953125
qwen3.5-9b,C,7,31,R_harm,R_harm,-1.0,1.0,-0.025874711573123932,-0.03318938631564379,-0.019506401382386684,0.0012000203132629395,0.058538440614938736,0.11153795570135117,0.02956344257108867,3.772833810986167,0.48,0.0,0.0,0.0,-0.535937488079071,118.91390991210938
qwen3.5-9b,C,7,31,R_harm,R_control,-1.0,1.0,-0.02803346887230873,-0.04001016803085804,-0.018564347643405203,0.0028000473976135254,0.058538440614938736,0.11153795570135117,0.02956344257108867,3.772833810986167,0.48,0.0,0.0,0.0,-0.535937488079071,76.66504669189453
qwen3.5-9b,C,7,31,R_harm,R_role,-1.0,1.0,0.0033956626430153847,-0.011986650107428432,0.017976666009053583,0.03679996728897095,0.058538440614938736,0.11153795570135117,0.02956344257108867,3.772833810986167,0.48,0.0,0.0,0.0,-0.535937488079071,60.2837028503418
qwen3.5-9b,C,7,8,R_harm,R_harm,2.0,2.0,1.6773511171340942,1.6497886925935745,1.7040937334299087,-0.000800013542175293,0.09295273572206497,0.1747419238090515,0.09694742504507303,1.8024400723155882,0.52,0.040000000000000036,0.020000000000000018,0.06,0.8407812714576721,1.976116418838501
