model,stage,steer_layer,relative_depth,source,alpha,mean_kl,margin_shift
qwen3.5-9b,A,11,0.3548,R_harm,1.0,0.20127157866954803,1.726953148841858
qwen3.5-9b,A,11,0.3548,R_harm,-1.0,0.28057464957237244,-1.62109375
qwen3.5-9b,A,11,0.3548,R_control,1.0,0.06994086503982544,0.04531250149011612
qwen3.5-9b,A,11,0.3548,R_control,-1.0,0.05814141780138016,-0.05820312350988388
qwen3.5-9b,A,11,0.3548,R_role,1.0,0.16827821731567383,-1.980859398841858
qwen3.5-9b,A,11,0.3548,R_role,-1.0,0.16967029869556427,1.1085937023162842
qwen3.5-9b,A,12,0.3871,R_harm,1.0,0.21567228436470032,1.5255858898162842
qwen3.5-9b,A,12,0.3871,R_harm,-1.0,0.22975966334342957,-1.224218726158142
qwen3.5-9b,A,12,0.3871,R_control,1.0,0.06651274859905243,-0.05039062350988388
qwen3.5-9b,A,12,0.3871,R_control,-1.0,0.0537741594016552,0.05390625074505806
qwen3.5-9b,A,12,0.3871,R_role,1.0,0.16588740050792694,-2.3050780296325684
qwen3.5-9b,A,12,0.3871,R_role,-1.0,0.21219024062156677,1.979101538658142
qwen3.5-9b,A,13,0.4194,R_harm,1.0,0.20581158995628357,1.388085961341858
qwen3.5-9b,A,13,0.4194,R_harm,-1.0,0.2171100676059723,-0.9921875
qwen3.5-9b,A,13,0.4194,R_control,1.0,0.09305274486541748,0.07656250149011612
qwen3.5-9b,A,13,0.4194,R_control,-1.0,0.09818492084741592,-0.03359375149011612
qwen3.5-9b,A,13,0.4194,R_role,1.0,0.19067740440368652,-2.68359375
qwen3.5-9b,A,13,0.4194,R_role,-1.0,0.2696447968482971,2.7835936546325684
qwen3.5-9b,A,14,0.4516,R_harm,1.0,0.2021356076002121,1.484375
qwen3.5-9b,A,14,0.4516,R_harm,-1.0,0.2810782790184021,-1.587890625
qwen3.5-9b,A,14,0.4516,R_control,1.0,0.06766273826360703,0.06484375149011612
qwen3.5-9b,A,14,0.4516,R_control,-1.0,0.06636401265859604,-0.05996093899011612
qwen3.5-9b,A,14,0.4516,R_role,1.0,0.177932471036911,-2.26953125
qwen3.5-9b,A,14,0.4516,R_role,-1.0,0.24816711246967316,2.777148485183716
qwen3.5-9b,A,15,0.4839,R_harm,1.0,0.24373336136341095,2.0591797828674316
qwen3.5-9b,A,15,0.4839,R_harm,-1.0,0.32159551978111267,-1.776953101158142
qwen3.5-9b,A,15,0.4839,R_control,1.0,0.10494200885295868,0.47929686307907104
qwen3.5-9b,A,15,0.4839,R_control,-1.0,0.10792019218206406,-0.42656248807907104
qwen3.5-9b,A,15,0.4839,R_role,1.0,0.17631974816322327,-2.119921922683716
qwen3.5-9b,A,15,0.4839,R_role,-1.0,0.2576064467430115,2.642773389816284
qwen3.5-9b,A,16,0.5161,R_harm,1.0,0.6527743935585022,4.2177734375
qwen3.5-9b,A,16,0.5161,R_harm,-1.0,0.55572110414505,-3.51171875
qwen3.5-9b,A,16,0.5161,R_control,1.0,0.1836075782775879,1.7814452648162842
qwen3.5-9b,A,16,0.5161,R_control,-1.0,0.20120981335639954,-1.580468773841858
qwen3.5-9b,A,16,0.5161,R_role,1.0,0.13547134399414062,-2.053515672683716
qwen3.5-9b,A,16,0.5161,R_role,-1.0,0.19360008835792542,2.508593797683716
qwen3.5-9b,A,17,0.5484,R_harm,1.0,1.4197229146957397,6.511523246765137
qwen3.5-9b,A,17,0.5484,R_harm,-1.0,1.4382808208465576,-5.893750190734863
qwen3.5-9b,A,17,0.5484,R_control,1.0,0.33857208490371704,2.856250047683716
qwen3.5-9b,A,17,0.5484,R_control,-1.0,0.37251514196395874,-2.50390625
qwen3.5-9b,A,17,0.5484,R_role,1.0,0.08254025876522064,-2.383593797683716
qwen3.5-9b,A,17,0.5484,R_role,-1.0,0.15132004022598267,2.5732421875
qwen3.5-9b,A,18,0.5806,R_harm,1.0,1.2191345691680908,7.1044921875
qwen3.5-9b,A,18,0.5806,R_harm,-1.0,1.3563792705535889,-5.976171970367432
qwen3.5-9b,A,18,0.5806,R_control,1.0,0.29641395807266235,2.961718797683716
qwen3.5-9b,A,18,0.5806,R_control,-1.0,0.38369524478912354,-2.825390577316284
qwen3.5-9b,A,18,0.5806,R_role,1.0,0.06231625750660896,-2.283203125
qwen3.5-9b,A,18,0.5806,R_role,-1.0,0.11959473788738251,3.395312547683716
qwen3.5-9b,A,19,0.6129,R_harm,1.0,1.2061975002288818,6.815234184265137
qwen3.5-9b,A,19,0.6129,R_harm,-1.0,1.9810508489608765,-6.153124809265137
qwen3.5-9b,A,19,0.6129,R_control,1.0,0.3331719934940338,3.453125
qwen3.5-9b,A,19,0.6129,R_control,-1.0,0.43337592482566833,-3.625781297683716
qwen3.5-9b,A,19,0.6129,R_role,1.0,0.049703262746334076,-2.225781202316284
qwen3.5-9b,A,19,0.6129,R_role,-1.0,0.09325539320707321,3.147656202316284
qwen3.5-9b,A,20,0.6452,R_harm,1.0,1.2565538883209229,6.453320503234863
qwen3.5-9b,A,20,0.6452,R_harm,-1.0,2.2838406562805176,-6.795702934265137
qwen3.5-9b,A,20,0.6452,R_control,1.0,0.3782000243663788,3.8207030296325684
qwen3.5-9b,A,20,0.6452,R_control,-1.0,0.5364057421684265,-4.139062404632568
qwen3.5-9b,A,20,0.6452,R_role,1.0,0.04024798423051834,-2.102734327316284
qwen3.5-9b,A,20,0.6452,R_role,-1.0,0.07469384372234344,2.65234375
qwen3.5-9b,A,21,0.6774,R_harm,1.0,1.455350637435913,6.875390529632568
qwen3.5-9b,A,21,0.6774,R_harm,-1.0,1.9794527292251587,-6.9140625
qwen3.5-9b,A,21,0.6774,R_control,1.0,0.41506052017211914,4.1630859375
qwen3.5-9b,A,21,0.6774,R_control,-1.0,0.5287784934043884,-4.50390625
qwen3.5-9b,A,21,0.6774,R_role,1.0,0.031168242916464806,-2.2730469703674316
qwen3.5-9b,A,21,0.6774,R_role,-1.0,0.05859722942113876,2.7125000953674316
qwen3.5-9b,A,22,0.7097,R_harm,1.0,1.574963092803955,7.421362400054932
qwen3.5-9b,A,22,0.7097,R_harm,-1.0,1.9421069622039795,-7.886328220367432
qwen3.5-9b,A,22,0.7097,R_control,1.0,0.416130930185318,4.7626953125
