model,stage,steer_layer,read_layer,source,target,alpha,abs_alpha,delta,ci_low,ci_high,delta_auc,mean_kl,kl_harmless,random_kl_harmless,content_ratio,margin_shift,class_gap
qwen2.5-7b,C,6,7,R_harm,R_harm,0.25,0.25,0.1902582198381424,0.1888781927525997,0.1915760964155197,0.0,0.0022627569269388914,0.003794824704527855,0.0025486704835202545,1.4889428543490633,-0.09849609434604645,4.563311576843262
qwen2.5-7b,C,6,7,R_harm,R_control,0.25,0.25,0.03285849094390869,0.03205422107130289,0.033672057744115594,-0.0004000067710876465,0.0022627569269388914,0.003794824704527855,0.0025486704835202545,1.4889428543490633,-0.09849609434604645,3.2808449268341064
qwen2.5-7b,C,6,7,R_harm,R_role,0.25,0.25,-0.0006366362213157117,-0.0008600559594924562,-0.000432517199078575,-0.0028000175952911377,0.0022627569269388914,0.003794824704527855,0.0025486704835202545,1.4889428543490633,-0.09849609434604645,9.503987312316895
qwen2.5-7b,C,6,17,R_harm,R_harm,0.25,0.25,0.010990415699779987,0.009759067906998098,0.012238549347966908,-0.0003999471664428711,0.0022627569269388914,0.003794824704527855,0.0025486704835202545,1.4889428543490633,-0.09849609434604645,23.48501205444336
qwen2.5-7b,C,6,17,R_harm,R_control,0.25,0.25,-0.0072394912131130695,-0.008630049298517406,-0.005816790543030948,-0.0012000203132629395,0.0022627569269388914,0.003794824704527855,0.0025486704835202545,1.4889428543490633,-0.09849609434604645,26.395238876342773
qwen2.5-7b,C,6,17,R_harm,R_role,0.25,0.25,-0.007155247498303652,-0.008306933008134365,-0.005972064915113152,0.0011999979615211487,0.0022627569269388914,0.003794824704527855,0.0025486704835202545,1.4889428543490633,-0.09849609434604645,22.735044479370117
qwen2.5-7b,C,6,27,R_harm,R_harm,0.25,0.25,0.0015305542619898915,0.0001253908187209163,0.0028820243547670542,-0.0012000203132629395,0.0022627569269388914,0.003794824704527855,0.0025486704835202545,1.4889428543490633,-0.09849609434604645,206.79986572265625
qwen2.5-7b,C,6,27,R_harm,R_control,0.25,0.25,-0.0012845671735703945,-0.0024823059502523392,-0.00019405711645959043,-0.0004000067710876465,0.0022627569269388914,0.003794824704527855,0.0025486704835202545,1.4889428543490633,-0.09849609434604645,256.7321472167969
qwen2.5-7b,C,6,27,R_harm,R_role,0.25,0.25,-0.0018709307769313455,-0.004792314511723817,0.0008182438599760633,-0.006399989128112793,0.0022627569269388914,0.003794824704527855,0.0025486704835202545,1.4889428543490633,-0.09849609434604645,98.78836059570312
qwen2.5-7b,C,6,7,R_harm,R_harm,-0.25,0.25,-0.19184011220932007,-0.19319601580500603,-0.19045103155076504,0.0,0.0019776395056396723,0.0034178763162344694,0.0025486704835202545,1.3410428450184182,0.11650390923023224,4.563311576843262
qwen2.5-7b,C,6,7,R_harm,R_control,-0.25,0.25,-0.03460542857646942,-0.0354401933029294,-0.03382961051538587,-0.0004000067710876465,0.0019776395056396723,0.0034178763162344694,0.0025486704835202545,1.3410428450184182,0.11650390923023224,3.2808449268341064
qwen2.5-7b,C,6,7,R_harm,R_role,-0.25,0.25,0.0007292699301615357,0.0005205931462114677,0.0009611268382286653,0.0015999972820281982,0.0019776395056396723,0.0034178763162344694,0.0025486704835202545,1.3410428450184182,0.11650390923023224,9.503987312316895
qwen2.5-7b,C,6,17,R_harm,R_harm,-0.25,0.25,-0.01030395645648241,-0.011715046130120754,-0.008861880586482586,0.0,0.0019776395056396723,0.0034178763162344694,0.0025486704835202545,1.3410428450184182,0.11650390923023224,23.48501205444336
qwen2.5-7b,C,6,17,R_harm,R_control,-0.25,0.25,0.008168521337211132,0.006484543357510119,0.009855170408263801,0.00279998779296875,0.0019776395056396723,0.0034178763162344694,0.0025486704835202545,1.3410428450184182,0.11650390923023224,26.395238876342773
qwen2.5-7b,C,6,17,R_harm,R_role,-0.25,0.25,0.006293910555541515,0.005141719710081816,0.0073945055832155045,-0.0007999986410140991,0.0019776395056396723,0.0034178763162344694,0.0025486704835202545,1.3410428450184182,0.11650390923023224,22.735044479370117
qwen2.5-7b,C,6,27,R_harm,R_harm,-0.25,0.25,-0.0007027882384136319,-0.0019284143636468798,0.0005668414625688443,-0.000800013542175293,0.0019776395056396723,0.0034178763162344694,0.0025486704835202545,1.3410428450184182,0.11650390923023224,206.79986572265625
qwen2.5-7b,C,6,27,R_harm,R_control,-0.25,0.25,0.0021240506321191788,0.0010399849998066202,0.0031977722072042514,0.0,0.0019776395056396723,0.0034178763162344694,0.0025486704835202545,1.3410428450184182,0.11650390923023224,256.7321472167969
qwen2.5-7b,C,6,27,R_harm,R_role,-0.25,0.25,0.0038131745532155037,0.0002778973612294067,0.0075795995770022275,0.0031999945640563965,0.0019776395056396723,0.0034178763162344694,0.0025486704835202545,1.3410428450184182,0.11650390923023224,98.78836059570312
qwen2.5-7b,C,6,7,R_harm,R_harm,0.5,0.5,0.37840571999549866,0.3756431519985199,0.3811107903718948,-0.0003999471664428711,0.005682406015694141,0.009560121223330498,0.004908771661575884,1.947558754497326,-0.21671874821186066,4.563311576843262
qwen2.5-7b,C,6,7,R_harm,R_control,0.5,0.5,0.0673237144947052,0.06575796250253915,0.06885225102305412,0.001199960708618164,0.005682406015694141,0.009560121223330498,0.004908771661575884,1.947558754497326,-0.21671874821186066,3.2808449268341064
qwen2.5-7b,C,6,7,R_harm,R_role,0.5,0.5,-0.0010049405973404646,-0.0013345194136491045,-0.0006837531080236659,-0.004799991846084595,0.005682406015694141,0.009560121223330498,0.004908771661575884,1.947558754497326,-0.21671874821186066,9.503987312316895
qwen2.5-7b,C,6,17,R_harm,R_harm,0.5,0.5,0.02299729734659195,0.020948715461418032,0.0250730624422431,-0.001199960708618164,0.005682406015694141,0.009560121223330498,0.004908771661575884,1.947558754497326,-0.21671874821186066,23.48501205444336
