concept_a,concept_b,pearson_r,abs_r,null_p95,beyond_null
R_control,R_control_harmless,0.9647320759592268,0.9647320759592268,0.4475977410488607,True
R_control,R_control_preguard,0.990932888150232,0.990932888150232,0.4475977410488607,True
R_control,R_control_unbalanced,0.9998410661835757,0.9998410661835757,0.4475977410488607,True
R_control,R_harm,0.7855334257455194,0.7855334257455194,0.4475977410488607,True
R_control,R_harm_at_post,0.8622044871239157,0.8622044871239157,0.4475977410488607,True
R_control,R_harm_user,0.7878522329456651,0.7878522329456651,0.4475977410488607,True
R_control_harmless,R_control_preguard,0.9550587530532095,0.9550587530532095,0.4475977410488607,True
R_control_harmless,R_control_unbalanced,0.9626046062828664,0.9626046062828664,0.4475977410488607,True
R_control_harmless,R_harm,0.7549505471148555,0.7549505471148555,0.4475977410488607,True
R_control_harmless,R_harm_at_post,0.8028135208071829,0.8028135208071829,0.4475977410488607,True
R_control_harmless,R_harm_user,0.7571835797936987,0.7571835797936987,0.4475977410488607,True
R_control_preguard,R_control_unbalanced,0.9907578912049213,0.9907578912049213,0.4475977410488607,True
R_control_preguard,R_harm,0.7962224432733597,0.7962224432733597,0.4475977410488607,True
R_control_preguard,R_harm_at_post,0.8791432825625488,0.8791432825625488,0.4475977410488607,True
R_control_preguard,R_harm_user,0.7973274884273576,0.7973274884273576,0.4475977410488607,True
R_control_unbalanced,R_harm,0.7876964259842416,0.7876964259842416,0.4475977410488607,True
R_control_unbalanced,R_harm_at_post,0.8644783714787301,0.8644783714787301,0.4475977410488607,True
R_control_unbalanced,R_harm_user,0.7903184410958555,0.7903184410958555,0.4475977410488607,True
R_harm,R_harm_at_post,0.8158664769822846,0.8158664769822846,0.4475977410488607,True
R_harm,R_harm_user,0.997386919525519,0.997386919525519,0.4475977410488607,True
R_harm_at_post,R_harm_user,0.8105311899477795,0.8105311899477795,0.4475977410488607,True
