model,stage,steer_layer,relative_depth,source,alpha,mean_kl,margin_shift
qwen2.5-7b,A,1,0.037,R_harm,1.0,0.0011501433327794075,-0.0244140625
qwen2.5-7b,A,1,0.037,R_harm,-1.0,0.0016554829198867083,-0.005859375
qwen2.5-7b,A,1,0.037,R_control,1.0,0.0013337286654859781,-0.0052734375931322575
qwen2.5-7b,A,1,0.037,R_control,-1.0,0.0012380413245409727,-0.06425781548023224
qwen2.5-7b,A,1,0.037,R_role,1.0,0.004213184118270874,-0.08261718600988388
qwen2.5-7b,A,1,0.037,R_role,-1.0,0.004720321856439114,0.03310547024011612
qwen2.5-7b,A,2,0.0741,R_harm,1.0,0.0016690318007022142,-0.05429687350988388
qwen2.5-7b,A,2,0.0741,R_harm,-1.0,0.0016679565887898207,-0.0074218749068677425
qwen2.5-7b,A,2,0.0741,R_control,1.0,0.0013961957301944494,0.0021484375465661287
qwen2.5-7b,A,2,0.0741,R_control,-1.0,0.0013574123149737716,-0.02070312574505806
qwen2.5-7b,A,2,0.0741,R_role,1.0,0.007816560566425323,0.12675781548023224
qwen2.5-7b,A,2,0.0741,R_role,-1.0,0.007479324005544186,-0.11503906548023224
qwen2.5-7b,A,3,0.1111,R_harm,1.0,0.0024530075024813414,-0.04414062574505806
qwen2.5-7b,A,3,0.1111,R_harm,-1.0,0.002208118559792638,0.0458984375
qwen2.5-7b,A,3,0.1111,R_control,1.0,0.002908497815951705,-0.0009765625
qwen2.5-7b,A,3,0.1111,R_control,-1.0,0.0015284527326002717,-0.03046875074505806
qwen2.5-7b,A,3,0.1111,R_role,1.0,0.011964714154601097,0.009765625
qwen2.5-7b,A,3,0.1111,R_role,-1.0,0.011641906574368477,0.08808593451976776
qwen2.5-7b,A,4,0.1481,R_harm,1.0,0.004545183386653662,-0.09765625
qwen2.5-7b,A,4,0.1481,R_harm,-1.0,0.0046662623062729836,0.03730468824505806
qwen2.5-7b,A,4,0.1481,R_control,1.0,0.0021473648957908154,-0.0166015625
qwen2.5-7b,A,4,0.1481,R_control,-1.0,0.00225743162445724,-0.006640625186264515
qwen2.5-7b,A,4,0.1481,R_role,1.0,0.02110247313976288,0.09316406399011612
qwen2.5-7b,A,4,0.1481,R_role,-1.0,0.020445575937628746,-0.2021484375
qwen2.5-7b,A,5,0.1852,R_harm,1.0,0.015976957976818085,-0.3775390684604645
qwen2.5-7b,A,5,0.1852,R_harm,-1.0,0.01117379404604435,0.3130859434604645
qwen2.5-7b,A,5,0.1852,R_control,1.0,0.006530427839607,0.07089843600988388
qwen2.5-7b,A,5,0.1852,R_control,-1.0,0.0068475366570055485,-0.14042969048023224
qwen2.5-7b,A,5,0.1852,R_role,1.0,0.029975900426506996,-0.18144531548023224
qwen2.5-7b,A,5,0.1852,R_role,-1.0,0.021080080419778824,-0.0059570311568677425
qwen2.5-7b,A,6,0.2222,R_harm,1.0,0.018710512667894363,-0.598828136920929
qwen2.5-7b,A,6,0.2222,R_harm,-1.0,0.01648630201816559,0.4722656309604645
qwen2.5-7b,A,6,0.2222,R_control,1.0,0.0054063075222074986,-0.14042969048023224
qwen2.5-7b,A,6,0.2222,R_control,-1.0,0.006247765384614468,0.05214843899011612
qwen2.5-7b,A,6,0.2222,R_role,1.0,0.04544294252991676,0.3539062440395355
qwen2.5-7b,A,6,0.2222,R_role,-1.0,0.03872167691588402,-0.09716796875
qwen2.5-7b,A,7,0.2593,R_harm,1.0,0.02230052649974823,-0.7982422113418579
qwen2.5-7b,A,7,0.2593,R_harm,-1.0,0.02345980331301689,0.7455078363418579
qwen2.5-7b,A,7,0.2593,R_control,1.0,0.008191045373678207,-0.12353515625
qwen2.5-7b,A,7,0.2593,R_control,-1.0,0.008237438276410103,0.091796875
qwen2.5-7b,A,7,0.2593,R_role,1.0,0.04163184016942978,0.13164062798023224
qwen2.5-7b,A,7,0.2593,R_role,-1.0,0.027658239006996155,-0.10576172173023224
qwen2.5-7b,A,8,0.2963,R_harm,1.0,0.036353111267089844,-0.793652355670929
qwen2.5-7b,A,8,0.2963,R_harm,-1.0,0.04566400498151779,0.7191406488418579
qwen2.5-7b,A,8,0.2963,R_control,1.0,0.01088545098900795,-0.11123047024011612
qwen2.5-7b,A,8,0.2963,R_control,-1.0,0.011879339814186096,0.08261718600988388
qwen2.5-7b,A,8,0.2963,R_role,1.0,0.07196108251810074,0.31640625
qwen2.5-7b,A,8,0.2963,R_role,-1.0,0.05829806253314018,0.3487304747104645
qwen2.5-7b,A,9,0.3333,R_harm,1.0,0.07099513709545135,-0.9688476324081421
qwen2.5-7b,A,9,0.3333,R_harm,-1.0,0.08426226675510406,0.9681640863418579
qwen2.5-7b,A,9,0.3333,R_control,1.0,0.015511086210608482,0.25312501192092896
qwen2.5-7b,A,9,0.3333,R_control,-1.0,0.018298711627721786,-0.27265626192092896
qwen2.5-7b,A,9,0.3333,R_role,1.0,0.16420069336891174,0.9925781488418579
qwen2.5-7b,A,9,0.3333,R_role,-1.0,0.07953763753175735,-0.5269531011581421
qwen2.5-7b,A,10,0.3704,R_harm,1.0,0.08623311668634415,-0.8310546875
qwen2.5-7b,A,10,0.3704,R_harm,-1.0,0.12145165354013443,0.764843761920929
qwen2.5-7b,A,10,0.3704,R_control,1.0,0.02370687946677208,0.43974608182907104
qwen2.5-7b,A,10,0.3704,R_control,-1.0,0.03755183517932892,-0.42558592557907104
qwen2.5-7b,A,10,0.3704,R_role,1.0,0.26546576619148254,1.2800781726837158
qwen2.5-7b,A,10,0.3704,R_role,-1.0,0.1349211484193802,-0.7660156488418579
qwen2.5-7b,A,11,0.4074,R_harm,1.0,0.15979894995689392,-0.845703125
qwen2.5-7b,A,11,0.4074,R_harm,-1.0,0.18432682752609253,1.2058594226837158
qwen2.5-7b,A,11,0.4074,R_control,1.0,0.03725292906165123,0.7298828363418579
qwen2.5-7b,A,11,0.4074,R_control,-1.0,0.057522665709257126,-0.612500011920929
qwen2.5-7b,A,11,0.4074,R_role,1.0,0.25808948278427124,1.3751952648162842
qwen2.5-7b,A,11,0.4074,R_role,-1.0,0.1502039134502411,-0.849609375
qwen2.5-7b,A,12,0.4444,R_harm,1.0,0.24959614872932434,-0.30839842557907104
qwen2.5-7b,A,12,0.4444,R_harm,-1.0,0.2995201051235199,0.544140636920929
qwen2.5-7b,A,12,0.4444,R_control,1.0,0.08829494565725327,1.6298828125
qwen2.5-7b,A,12,0.4444,R_control,-1.0,0.2114562690258026,-1.6115233898162842
qwen2.5-7b,A,12,0.4444,R_role,1.0,0.3035319447517395,1.2158203125
qwen2.5-7b,A,12,0.4444,R_role,-1.0,0.2203216850757599,-0.23496094346046448
qwen2.5-7b,A,13,0.4815,R_harm,1.0,0.903430163860321,3.6255860328674316
qwen2.5-7b,A,13,0.4815,R_harm,-1.0,1.0721577405929565,-2.1806640625
qwen2.5-7b,A,13,0.4815,R_control,1.0,0.6969462633132935,4.799023628234863
qwen2.5-7b,A,13,0.4815,R_control,-1.0,1.074371576309204,-4.683007717132568
qwen2.5-7b,A,13,0.4815,R_role,1.0,1.544731855392456,-0.2138671875
qwen2.5-7b,A,13,0.4815,R_role,-1.0,0.5315191149711609,0.5091797113418579
qwen2.5-7b,A,14,0.5185,R_harm,1.0,3.039687395095825,10.856054306030273
qwen2.5-7b,A,14,0.5185,R_harm,-1.0,2.1782238483428955,-4.326952934265137
qwen2.5-7b,A,14,0.5185,R_control,1.0,2.240415573120117,10.754491806030273
qwen2.5-7b,A,14,0.5185,R_control,-1.0,2.9114480018615723,-8.138086318969727
qwen2.5-7b,A,14,0.5185,R_role,1.0,1.0487267971038818,0.519335925579071
qwen2.5-7b,A,14,0.5185,R_role,-1.0,0.5404412150382996,0.5755859613418579
qwen2.5-7b,A,15,0.5556,R_harm,1.0,3.392477035522461,11.745898246765137
