model,concept,layer,relative_depth,auc,null_median,null_p95,null_max,null_min,n_directions,p_value,beats_null_p95,length_only_auc,matched_auc,matched_ci_low,matched_ci_high,matched_length_only,matched_n_items,matched_n_instructions
qwen2.5-7b,R_harm,16,0.5926,0.9806687235832214,0.49627500772476196,0.76927250623703,0.9114062786102295,0.08480624854564667,1000,0.000999000999000999,True,0.6523078083992004,0.9787053465843201,0.9504674673080444,0.9968796372413635,0.5024181604385376,2444,99
qwen2.5-7b,R_harm_user,16,0.5926,0.9815000295639038,0.49729999899864197,0.7694299817085266,0.9172000288963318,0.0868000015616417,1000,0.000999000999000999,True,0.7054312229156494,0.9753731489181519,0.9414799809455872,0.9960946440696716,0.5007048845291138,530,84
qwen2.5-7b,R_control,25,0.9259,0.9937199354171752,0.49340590834617615,0.9032027721405029,0.9878584742546082,0.01444421149790287,1000,0.000999000999000999,True,0.3626947402954101,1.0,1.0,1.0,0.4934186637401581,182,29
qwen2.5-7b,R_harm_at_post,16,0.5926,0.991506278514862,0.5242624878883362,0.8315134048461914,0.9468437433242798,0.04246250167489052,1000,0.000999000999000999,True,0.6523078083992004,0.9868539571762085,0.9760484099388123,0.995445191860199,0.5024181604385376,2444,99
qwen2.5-7b,R_control_harmless,27,1.0,0.946666657924652,0.49717947840690613,0.8691538572311401,0.9797435998916626,0.02410256490111351,1000,0.008991008991008992,True,0.4699232280254364,0.925000011920929,0.6315789222717285,1.0,0.500780463218689,124,16
qwen2.5-7b,R_control_unbalanced,25,0.9259,0.9937199354171752,0.49340590834617615,0.9032027721405029,0.9878584742546082,0.01444421149790287,1000,0.000999000999000999,True,0.3626947402954101,1.0,1.0,1.0,0.4934186637401581,182,29
qwen2.5-7b,R_control_preguard,20,0.7407,0.9748796224594116,0.5086575746536255,0.8565387725830078,0.9480546712875366,0.06591106206178665,1000,0.000999000999000999,True,0.4296959340572357,0.968571662902832,0.9326887130737305,0.9893683791160583,0.5022515058517456,872,50
