concept,layer,relative_depth,train_auc,auc,auc_ci_low,auc_ci_high,length_only_auc,random_auc,model
R_harm,0,0.0,0.7427951097488403,0.765999972820282,0.6474598050117493,0.860980212688446,0.6534406542778015,0.4379250109195709,qwen3.5-9b
R_harm,1,0.0323,0.7017895579338074,0.7184937596321106,0.5915865898132324,0.8280913233757019,0.6534406542778015,0.4746812582015991,qwen3.5-9b
R_harm,2,0.0645,0.8233382105827332,0.8580562472343445,0.7867291569709778,0.9193437695503236,0.6534406542778015,0.363099992275238,qwen3.5-9b
R_harm,3,0.0968,0.8098847270011902,0.822293758392334,0.7407233119010925,0.8946766257286072,0.6534406542778015,0.3798750042915344,qwen3.5-9b
R_harm,4,0.129,0.8714208602905273,0.8922062516212463,0.8301841020584106,0.942667841911316,0.6534406542778015,0.4678062498569488,qwen3.5-9b
R_harm,5,0.1613,0.9514437317848206,0.9727625250816344,0.9424360990524292,0.9943358898162842,0.6534406542778015,0.3767687380313873,qwen3.5-9b
R_harm,6,0.1935,0.9655965566635132,0.9803375005722046,0.9547156691551208,0.9974191188812256,0.6534406542778015,0.5752500295639038,qwen3.5-9b
R_harm,7,0.2258,0.9666840434074402,0.980650007724762,0.955808699131012,0.997266948223114,0.6534406542778015,0.5278624892234802,qwen3.5-9b
R_harm,8,0.2581,0.9669743180274964,0.9797624945640564,0.9540034532546996,0.9966996908187866,0.6534406542778015,0.6137375235557556,qwen3.5-9b
R_harm,9,0.2903,0.9691902995109558,0.980162501335144,0.955079197883606,0.9970061779022216,0.6534406542778015,0.4604249894618988,qwen3.5-9b
R_harm,10,0.3226,0.959182620048523,0.9654874801635742,0.9323963522911072,0.9892697334289552,0.6534406542778015,0.4278812408447265,qwen3.5-9b
R_harm,11,0.3548,0.9655673503875732,0.9743375182151794,0.94695383310318,0.992722749710083,0.6534406542778015,0.1489250063896179,qwen3.5-9b
R_harm,12,0.3871,0.9689972400665284,0.9754124879837036,0.9487254619598388,0.9930582642555236,0.6534406542778015,0.578962504863739,qwen3.5-9b
R_harm,13,0.4194,0.9746763706207277,0.9790124893188475,0.9528583884239196,0.995325803756714,0.6534406542778015,0.5268937349319458,qwen3.5-9b
R_harm,14,0.4516,0.9729659557342528,0.9752437472343444,0.9492887854576112,0.993287205696106,0.6534406542778015,0.5179499983787537,qwen3.5-9b
R_harm,15,0.4839,0.9755062460899352,0.9807500243186952,0.9572253823280334,0.9957768321037292,0.6534406542778015,0.7636312246322632,qwen3.5-9b
R_harm,16,0.5161,0.9756284952163696,0.9810187220573424,0.957236111164093,0.996000349521637,0.6534406542778015,0.3449499905109405,qwen3.5-9b
R_harm,17,0.5484,0.972875714302063,0.9804937243461608,0.9559507369995116,0.9960217475891112,0.6534406542778015,0.6937875151634216,qwen3.5-9b
R_harm,18,0.5806,0.9692333340644836,0.9793187379837036,0.9551580548286438,0.9947360157966614,0.6534406542778015,0.7232875227928162,qwen3.5-9b
R_harm,19,0.6129,0.9728208184242249,0.983481228351593,0.9610741138458252,0.9971461892127992,0.6534406542778015,0.387800008058548,qwen3.5-9b
R_harm,20,0.6452,0.9708256721496582,0.9811000227928162,0.9593985080718994,0.9947940707206726,0.6534406542778015,0.3276562392711639,qwen3.5-9b
R_harm,21,0.6774,0.969545841217041,0.9804187417030334,0.958425998687744,0.9945358633995056,0.6534406542778015,0.6941812634468079,qwen3.5-9b
R_harm,22,0.7097,0.9666270613670348,0.9797687530517578,0.956956386566162,0.9942925572395324,0.6534406542778015,0.3915937542915344,qwen3.5-9b
R_harm,23,0.7419,0.9600284695625304,0.9718375205993652,0.9460055828094482,0.9894838929176332,0.6534406542778015,0.3743562400341034,qwen3.5-9b
R_harm,24,0.7742,0.9605985879898072,0.9729187488555908,0.948242485523224,0.9901885390281676,0.6534406542778015,0.4967562556266784,qwen3.5-9b
R_harm,25,0.8065,0.9596624970436096,0.9707124829292296,0.944564938545227,0.9888491034507751,0.6534406542778015,0.6916750073432922,qwen3.5-9b
R_harm,26,0.8387,0.9199208617210388,0.9245562553405762,0.8815860152244568,0.958371877670288,0.6534406542778015,0.5046937465667725,qwen3.5-9b
R_harm,27,0.871,0.9577715396881104,0.9692124724388124,0.942421555519104,0.987785577774048,0.6534406542778015,0.7164687514305115,qwen3.5-9b
R_harm,28,0.9032,0.9587777853012084,0.971918761730194,0.9441924095153807,0.9900786876678468,0.6534406542778015,0.5033312439918518,qwen3.5-9b
R_harm,29,0.9355,0.96017986536026,0.9745374917984008,0.94816792011261,0.9919086694717408,0.6534406542778015,0.6104062795639038,qwen3.5-9b
R_harm,30,0.9677,0.9610881805419922,0.9770125150680542,0.950813889503479,0.9940518736839294,0.6534406542778015,0.2779437601566314,qwen3.5-9b
R_harm,31,1.0,0.9049423336982728,0.9237187504768372,0.8732499480247498,0.9648611545562744,0.6534406542778015,0.5355125069618225,qwen3.5-9b
R_harm_user,0,0.0,0.7487999796867371,0.7706000208854675,0.6544294357299805,0.8656555414199829,0.7058687210083008,0.4435000121593475,qwen3.5-9b
R_harm_user,1,0.0323,0.702322244644165,0.7141000032424927,0.5852619409561157,0.8268374800682068,0.7058687210083008,0.463699996471405,qwen3.5-9b
R_harm_user,2,0.0645,0.8973000049591064,0.927299976348877,0.8727390766143799,0.9671342372894288,0.7058687210083008,0.4104000031948089,qwen3.5-9b
R_harm_user,3,0.0968,0.8478111028671265,0.8575999736785889,0.780564546585083,0.9242072105407716,0.7058687210083008,0.3571999967098236,qwen3.5-9b
R_harm_user,4,0.129,0.9043333530426024,0.9217000007629396,0.864954948425293,0.9625022411346436,0.7058687210083008,0.4990000128746032,qwen3.5-9b
R_harm_user,5,0.1613,0.9567555785179138,0.9768999814987184,0.9469001293182372,0.997189998626709,0.7058687210083008,0.4162000119686126,qwen3.5-9b
R_harm_user,6,0.1935,0.96842223405838,0.9819999933242798,0.9565267562866212,0.9988020062446594,0.7058687210083008,0.5358999967575073,qwen3.5-9b
R_harm_user,7,0.2258,0.969444453716278,0.9819999933242798,0.9579611420631408,0.9980958104133606,0.7058687210083008,0.5213000178337097,qwen3.5-9b
R_harm_user,8,0.2581,0.9700000286102296,0.9818000197410583,0.9575125575065612,0.9979714155197144,0.7058687210083008,0.6100999712944031,qwen3.5-9b
R_harm_user,9,0.2903,0.9711889028549194,0.9811999797821044,0.9563980102539062,0.9977684617042542,0.7058687210083008,0.4700999855995178,qwen3.5-9b
R_harm_user,10,0.3226,0.968833327293396,0.9735999703407288,0.9419050812721252,0.994727611541748,0.7058687210083008,0.464599996805191,qwen3.5-9b
R_harm_user,11,0.3548,0.9703111052513124,0.9785000085830688,0.9503799080848694,0.9959007501602172,0.7058687210083008,0.1638000011444091,qwen3.5-9b
R_harm_user,12,0.3871,0.9718444347381592,0.978600025177002,0.9515872001647948,0.9959937334060668,0.7058687210083008,0.5738000273704529,qwen3.5-9b
R_harm_user,13,0.4194,0.9746888875961304,0.979099988937378,0.953880488872528,0.996098518371582,0.7058687210083008,0.5497000217437744,qwen3.5-9b
R_harm_user,14,0.4516,0.9745888710021972,0.9794999957084656,0.9546026587486268,0.996125876903534,0.7058687210083008,0.5443999767303467,qwen3.5-9b
R_harm_user,15,0.4839,0.9752777814865112,0.9807999730110168,0.956799566745758,0.9964032769203186,0.7058687210083008,0.7139999866485596,qwen3.5-9b
R_harm_user,16,0.5161,0.975333333015442,0.9800999760627748,0.9549819827079772,0.9963950514793396,0.7058687210083008,0.3262999951839447,qwen3.5-9b
R_harm_user,17,0.5484,0.9729222059249878,0.9796000123023988,0.9533874988555908,0.9963285326957704,0.7058687210083008,0.642799973487854,qwen3.5-9b
R_harm_user,18,0.5806,0.9701555371284484,0.9807000160217284,0.9551177024841307,0.9964783191680908,0.7058687210083008,0.7013000249862671,qwen3.5-9b
R_harm_user,19,0.6129,0.9724777936935424,0.9835000038146972,0.959857702255249,0.99859619140625,0.7058687210083008,0.3729000091552734,qwen3.5-9b
R_harm_user,20,0.6452,0.9719444513320924,0.9836999773979188,0.9616311192512512,0.997870922088623,0.7058687210083008,0.3328999876976013,qwen3.5-9b
R_harm_user,21,0.6774,0.9715111255645752,0.9836000204086304,0.9608983993530272,0.9983928203582764,0.7058687210083008,0.7373999953269958,qwen3.5-9b
R_harm_user,22,0.7097,0.968322217464447,0.9837999939918518,0.9606878757476808,0.9981644153594972,0.7058687210083008,0.3574999868869781,qwen3.5-9b
R_harm_user,23,0.7419,0.966422200202942,0.9779000282287598,0.9513878226280212,0.996145248413086,0.7058687210083008,0.4264000058174133,qwen3.5-9b
R_harm_user,24,0.7742,0.9681777954101562,0.979300022125244,0.9539779424667358,0.9965786337852478,0.7058687210083008,0.5375000238418579,qwen3.5-9b
R_harm_user,25,0.8065,0.9677000045776368,0.977999985218048,0.9511894583702089,0.996263027191162,0.7058687210083008,0.6983000040054321,qwen3.5-9b
