model,concept,layer,relative_depth,auc,null_median,null_p95,null_max,null_min,n_directions,p_value,beats_null_p95,length_only_auc,matched_auc,matched_ci_low,matched_ci_high,matched_length_only,matched_n_items,matched_n_instructions
qwen3.5-9b,R_harm,16,0.5161,0.9810187220573424,0.49125000834465027,0.7662724852561951,0.9371625185012817,0.09276875108480453,1000,0.000999000999000999,True,0.6534406542778015,0.980086088180542,0.9551509022712708,0.9959664344787598,0.501491129398346,2300,100
qwen3.5-9b,R_harm_user,16,0.5161,0.9800999760627748,0.48980000615119934,0.7753300070762634,0.9352999925613403,0.07660000026226044,1000,0.000999000999000999,True,0.7058687210083008,0.9784543514251709,0.9513433575630188,0.996499240398407,0.49737125635147095,532,87
qwen3.5-9b,R_harm_at_post,28,0.9032,0.994700014591217,0.49467501044273376,0.8627265095710754,0.9532437324523926,0.020024999976158142,1000,0.000999000999000999,True,0.6534406542778015,0.9945633411407471,0.9848145842552185,0.9999212622642517,0.501491129398346,2300,100
qwen3.5-9b,R_control_harmless,28,0.9032,0.9583669900894164,0.504324734210968,0.7765136361122131,0.9130434989929199,0.06319916993379593,1000,0.000999000999000999,True,0.5224977135658264,0.933977484703064,0.8260083794593811,1.0,0.501364529132843,236,25
qwen3.5-9b,R_control_preguard,30,0.9677,0.9960317611694336,0.48893699049949646,0.9273508191108704,0.9962722659111023,0.007215007208287716,1000,0.001998001998001998,True,0.4775048494338989,0.9946523904800415,0.9649122953414917,1.0,0.5018935203552246,134,19
