model,concept,factor,level_a,level_b,layer,cosine,split_half_floor,at_floor
qwen2.5-7b,R_harm,category,Disinformation,cat10,16,0.0761362761259079,0.9376655519008636,False
qwen2.5-7b,R_harm,category,Disinformation,cat11,16,0.05255609378218651,0.9376655519008636,False
qwen2.5-7b,R_harm,category,Disinformation,cat12,16,0.06798912584781647,0.9376655519008636,False
qwen2.5-7b,R_harm,category,Disinformation,cat14,16,0.07770256698131561,0.9376655519008636,False
qwen2.5-7b,R_harm,category,Disinformation,cat22,16,0.09971122443675995,0.9376655519008636,False
qwen2.5-7b,R_harm,category,Disinformation,cat23,16,0.09216663241386414,0.9376655519008636,False
qwen2.5-7b,R_harm,category,Disinformation,cat24,16,0.13189110159873962,0.9376655519008636,False
qwen2.5-7b,R_harm,category,Disinformation,cat27,16,0.16283325850963593,0.9376655519008636,False
qwen2.5-7b,R_harm,category,Disinformation,cat28,16,0.13434961438179016,0.9376655519008636,False
qwen2.5-7b,R_harm,category,Disinformation,cat32,16,0.037875138223171234,0.9376655519008636,False
qwen2.5-7b,R_harm,category,Disinformation,cat39,16,0.16707217693328857,0.9376655519008636,False
qwen2.5-7b,R_harm,category,Disinformation,cat44,16,0.02610982581973076,0.9376655519008636,False
qwen2.5-7b,R_harm,category,Disinformation,cat7,16,-0.0036642784252762794,0.9376655519008636,False
qwen2.5-7b,R_harm,category,Economic harm,Expert advice,16,0.7557835578918457,0.9376655519008636,False
qwen2.5-7b,R_harm,category,Economic harm,Fraud/Deception,16,0.732184886932373,0.9376655519008636,False
qwen2.5-7b,R_harm,category,Economic harm,Government decision-making,16,0.7710182666778564,0.9376655519008636,False
qwen2.5-7b,R_harm,category,Economic harm,Harassment/Discrimination,16,0.7376982569694519,0.9376655519008636,False
qwen2.5-7b,R_harm,category,Economic harm,Malware/Hacking,16,0.704869270324707,0.9376655519008636,False
qwen2.5-7b,R_harm,category,Economic harm,Physical harm,16,0.6367495059967041,0.9376655519008636,False
qwen2.5-7b,R_harm,category,Economic harm,Privacy,16,0.6646167039871216,0.9376655519008636,False
qwen2.5-7b,R_harm,category,Economic harm,Sexual/Adult content,16,0.5776795744895935,0.9376655519008636,False
qwen2.5-7b,R_harm,category,Economic harm,cat1,16,0.1742083728313446,0.9376655519008636,False
qwen2.5-7b,R_harm,category,Economic harm,cat10,16,0.1368691325187683,0.9376655519008636,False
qwen2.5-7b,R_harm,category,Economic harm,cat11,16,0.10213927924633026,0.9376655519008636,False
qwen2.5-7b,R_harm,category,Economic harm,cat12,16,0.0973413735628128,0.9376655519008636,False
qwen2.5-7b,R_harm,category,Economic harm,cat14,16,0.1945846974849701,0.9376655519008636,False
qwen2.5-7b,R_harm,category,Economic harm,cat22,16,0.1060158908367157,0.9376655519008636,False
qwen2.5-7b,R_harm,category,Economic harm,cat23,16,0.14037945866584778,0.9376655519008636,False
qwen2.5-7b,R_harm,category,Economic harm,cat24,16,0.19449038803577423,0.9376655519008636,False
