model,concept,layer,relative_depth,auc,null_median,null_p95,null_max,null_min,n_directions,p_value,beats_null_p95,length_only_auc,matched_auc,matched_ci_low,matched_ci_high,matched_length_only,matched_n_items,matched_n_instructions
qwen2.5-7b,R_harm,16,0.5926,0.980718731880188,0.496281236410141,0.7684143781661987,0.9115999937057495,0.0848812535405159,1000,0.000999000999000999,True,0.6523078083992004,0.9787477850914001,0.9506465792655945,0.9968796372413635,0.5024181604385376,2444,99
qwen2.5-7b,R_harm_user,16,0.5926,0.9815000295639038,0.4970000088214874,0.7700150012969971,0.9172999858856201,0.08730000257492065,1000,0.000999000999000999,True,0.7054312229156494,0.9753731489181519,0.9414799809455872,0.9960946440696716,0.5007048845291138,530,84
qwen2.5-7b,R_control,20,0.7407,0.9934459924697876,0.5085509419441223,0.9145417213439941,0.9745007753372192,0.013210445642471313,1000,0.000999000999000999,True,0.3684110939502716,0.9726707935333252,0.9319192171096802,1.0,0.49964556097984314,184,24
qwen2.5-7b,R_harm_at_post,16,0.5926,0.9914687275886536,0.5232750177383423,0.8314837217330933,0.9474124908447266,0.042787499725818634,1000,0.000999000999000999,True,0.6523078083992004,0.9868221282958984,0.9758989810943604,0.9954147338867188,0.5024181604385376,2444,99
qwen2.5-7b,R_control_harmless,22,0.8148,0.945641040802002,0.5025641322135925,0.8769358992576599,0.9851282238960266,0.020769231021404266,1000,0.01098901098901099,True,0.4597726762294769,0.9200000166893005,0.6470588445663452,1.0,0.5063155293464661,122,17
qwen2.5-7b,R_control_unbalanced,20,0.7407,0.9935483932495116,0.5085509419441223,0.9145417213439941,0.9745007753372192,0.013210445642471313,1000,0.000999000999000999,True,0.3684110939502716,0.9726707935333252,0.9319192171096802,1.0,0.49964556097984314,184,24
qwen2.5-7b,R_control_preguard,20,0.7407,0.9733996987342834,0.5098196268081665,0.8553926348686218,0.9494357109069824,0.06540478020906448,1000,0.000999000999000999,True,0.4243775010108948,0.960844874382019,0.9225813746452332,0.9871525764465332,0.5005680918693542,868,48
