model,concept,peak_auc,peak_depth,peak_layer,onset_80,onset_90,onset_95,onset_90_ci_low,onset_90_ci_high,onset_90_ci_width,layer0_auc
qwen2.5-7b,R_harm,0.980718731880188,0.5926,16,0.0,0.037,0.0741,0.0,0.1111,0.1111,0.9311187267303468
qwen2.5-7b,R_harm_user,0.9815000295639038,0.5926,16,0.0,0.0,0.0741,0.0,0.0741,0.0741,0.9401000142097472
qwen2.5-7b,R_control,0.9934459924697876,0.7407,20,0.4815,0.4815,0.5185,0.31387500000000007,0.5185,0.2046249999999999,0.7137736678123474
qwen2.5-7b,R_harm_at_post,0.9914687275886536,0.5926,16,0.0,0.0,0.1852,0.0,0.1852,0.1852,0.9440374970436096
qwen2.5-7b,R_control_harmless,0.945641040802002,0.8148,22,0.5926,0.5926,0.7037,0.0,0.8519,0.8519,0.6792307496070862
qwen2.5-7b,R_control_unbalanced,0.9935483932495116,0.7407,20,0.4815,0.4815,0.5185,0.4815,0.5185,0.03699999999999998,0.6544802784919739
qwen2.5-7b,R_control_preguard,0.9733996987342834,0.7407,20,0.5185,0.6667,0.6667,0.5185,0.7037,0.18520000000000003,0.7259989976882935
qwen2.5-7b,R_role_probe,0.9592391304347826,0.4444,12,0.0,0.037,0.037,0.037,0.037,0.0,0.884111253196931
