model,stage,steer_layer,read_layer,read_position,gate_read_layer,relative_read_depth,source,target,alpha,abs_alpha,delta,ci_low,ci_high,delta_auc,mean_kl,kl_harmless,random_kl_harmless,content_ratio,refusal_rate,d_refusal,d_refusal_harmful,d_refusal_harmless,margin_shift,class_gap
qwen2.5-7b,C,6,7,t_inst,True,0.2593,R_harm,R_harm,0.25,0.25,0.005643149837851524,0.005226718727499247,0.006056403741240501,-0.0004000067710876465,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,17.91131019592285
qwen2.5-7b,C,6,7,t_inst,True,0.2593,R_harm,R_role,0.25,0.25,-0.0002558277628850192,-0.0005971963400952518,8.065049041761085e-05,0.0015999674797058105,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,9.155404090881348
qwen2.5-7b,C,6,7,t_post_inst,True,0.2593,R_harm,R_harm,0.25,0.25,0.19035904109477997,0.18897859752178192,0.191680446267128,0.0,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,4.565168380737305
qwen2.5-7b,C,6,7,t_post_inst,True,0.2593,R_harm,R_control,0.25,0.25,0.03656113147735596,0.03565331548452377,0.037466228008270264,0.0004000067710876465,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,3.0733187198638916
qwen2.5-7b,C,6,7,t_post_inst,True,0.2593,R_harm,R_role,0.25,0.25,-0.0008564609452150762,-0.0010869922116398811,-0.0006337634404189885,-0.002400010824203491,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,9.501203536987305
qwen2.5-7b,C,6,8,t_inst,False,0.2963,R_harm,R_harm,0.25,0.25,0.004165539983659983,0.003721503308042884,0.004619818180799484,-0.0004000067710876465,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,19.930185317993164
qwen2.5-7b,C,6,8,t_inst,False,0.2963,R_harm,R_role,0.25,0.25,-0.0016544954851269722,-0.0022291450295597315,-0.0010952162556350231,-0.0004000067710876465,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,10.44808578491211
qwen2.5-7b,C,6,8,t_post_inst,False,0.2963,R_harm,R_harm,0.25,0.25,0.1340334117412567,0.13233481347560883,0.13565249741077423,0.0,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,6.2054290771484375
qwen2.5-7b,C,6,8,t_post_inst,False,0.2963,R_harm,R_control,0.25,0.25,0.0312955267727375,0.02905680425465107,0.03362942487001419,0.0007999539375305176,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,3.833340644836426
qwen2.5-7b,C,6,8,t_post_inst,False,0.2963,R_harm,R_role,0.25,0.25,-0.0023084122221916914,-0.0028613796457648277,-0.0017454312182962894,-0.0023999959230422974,0.0026423854287713766,0.004438638687133789,0.0023214254033518955,1.912031582287701,0.39,0.0,0.0,0.0,-0.10003906488418579,12.313929557800293
