model,arm,position,layer,relative_depth,tag_contrast,register_contrast,cos_tag_register,tag_split_half,register_split_half,floor,distinct
qwen2.5-7b,generated,t_inst,4,0.1481,tool_vs_user,tool_register_vs_user_register,0.07027564942836761,0.9402867555618286,0.9939983487129211,0.9402867555618286,True
qwen2.5-7b,generated,t_inst,4,0.1481,system_vs_user,system_register_vs_tool_register,0.014773804694414139,0.7407888770103455,0.9950615167617798,0.7407888770103455,True
qwen2.5-7b,generated,t_inst,4,0.1481,system_vs_user,system_register_vs_user_register,0.01343320682644844,0.7407888770103455,0.9781606793403625,0.7407888770103455,True
qwen2.5-7b,generated,t_inst,4,0.1481,system_vs_user,tool_register_vs_user_register,0.02363445982336998,0.7407888770103455,0.9939983487129211,0.7407888770103455,True
qwen2.5-7b,generated,t_inst,4,0.1481,assistant_vs_user,system_register_vs_tool_register,0.205651193857193,-0.36253100633621216,0.9950615167617798,-0.36253100633621216,False
qwen2.5-7b,generated,t_inst,4,0.1481,assistant_vs_user,system_register_vs_user_register,0.17241983115673065,-0.36253100633621216,0.9781606793403625,-0.36253100633621216,False
qwen2.5-7b,generated,t_inst,4,0.1481,assistant_vs_user,tool_register_vs_user_register,0.11637584120035172,-0.36253100633621216,0.9939983487129211,-0.36253100633621216,False
qwen2.5-7b,generated,t_inst,5,0.1852,tool_vs_user,system_register_vs_tool_register,0.12902772426605225,0.9494239687919617,0.9948643445968628,0.9494239687919617,True
qwen2.5-7b,generated,t_inst,5,0.1852,tool_vs_user,system_register_vs_user_register,0.04179897904396057,0.9494239687919617,0.9762135744094849,0.9494239687919617,True
qwen2.5-7b,generated,t_inst,5,0.1852,tool_vs_user,tool_register_vs_user_register,0.10915853828191757,0.9494239687919617,0.9940535426139832,0.9494239687919617,True
qwen2.5-7b,generated,t_inst,5,0.1852,system_vs_user,system_register_vs_tool_register,0.14819777011871338,0.8169759511947632,0.9948643445968628,0.8169759511947632,True
qwen2.5-7b,generated,t_inst,5,0.1852,system_vs_user,system_register_vs_user_register,0.08273059129714966,0.8169759511947632,0.9762135744094849,0.8169759511947632,True
qwen2.5-7b,generated,t_inst,5,0.1852,system_vs_user,tool_register_vs_user_register,0.10668227821588516,0.8169759511947632,0.9940535426139832,0.8169759511947632,True
qwen2.5-7b,generated,t_inst,5,0.1852,assistant_vs_user,system_register_vs_tool_register,0.1558734029531479,-0.11225666105747223,0.9948643445968628,-0.11225666105747223,False
qwen2.5-7b,generated,t_inst,5,0.1852,assistant_vs_user,system_register_vs_user_register,0.06898999214172363,-0.11225666105747223,0.9762135744094849,-0.11225666105747223,False
qwen2.5-7b,generated,t_inst,5,0.1852,assistant_vs_user,tool_register_vs_user_register,0.12191275507211685,-0.11225666105747223,0.9940535426139832,-0.11225666105747223,False
qwen2.5-7b,generated,t_inst,6,0.2222,tool_vs_user,system_register_vs_tool_register,0.1805901825428009,0.9265896081924438,0.9957728385925293,0.9265896081924438,True
qwen2.5-7b,generated,t_inst,6,0.2222,tool_vs_user,system_register_vs_user_register,0.042381271719932556,0.9265896081924438,0.9785239100456238,0.9265896081924438,True
qwen2.5-7b,generated,t_inst,6,0.2222,tool_vs_user,tool_register_vs_user_register,0.17027997970581055,0.9265896081924438,0.9946798086166382,0.9265896081924438,True
qwen2.5-7b,generated,t_inst,6,0.2222,system_vs_user,system_register_vs_tool_register,0.21532699465751648,0.7865727543830872,0.9957728385925293,0.7865727543830872,True
qwen2.5-7b,generated,t_inst,6,0.2222,system_vs_user,system_register_vs_user_register,0.07620318233966827,0.7865727543830872,0.9785239100456238,0.7865727543830872,True
qwen2.5-7b,generated,t_inst,6,0.2222,system_vs_user,tool_register_vs_user_register,0.1896141618490219,0.7865727543830872,0.9946798086166382,0.7865727543830872,True
qwen2.5-7b,generated,t_inst,6,0.2222,assistant_vs_user,system_register_vs_tool_register,0.0919485092163086,0.012496523559093475,0.9957728385925293,0.012496523559093475,False
qwen2.5-7b,generated,t_inst,6,0.2222,assistant_vs_user,system_register_vs_user_register,0.062404170632362366,0.012496523559093475,0.9785239100456238,0.012496523559093475,False
