concept_a,concept_b,layer,relative_depth,cosine,abs_cosine,null_p97_5,split_half_floor,beyond_null,position_a,position_b,same_position
R_control,R_control_harmless,0,0.0,0.1810762882232666,0.1810762882232666,0.03177424147725105,0.5791198015213013,True,t_post_inst,t_post_inst,True
R_control,R_control_harmless,1,0.037,0.23280060291290283,0.23280060291290283,0.03177424147725105,0.5852768421173096,True,t_post_inst,t_post_inst,True
R_control,R_control_harmless,2,0.0741,0.017593219876289368,0.017593219876289368,0.03177424147725105,0.6414619088172913,False,t_post_inst,t_post_inst,True
R_control,R_control_harmless,3,0.1111,-0.08807510882616043,0.08807510882616043,0.03177424147725105,0.6143907904624939,True,t_post_inst,t_post_inst,True
R_control,R_control_harmless,4,0.1481,-0.1055225133895874,0.1055225133895874,0.03177424147725105,0.5132142305374146,True,t_post_inst,t_post_inst,True
R_control,R_control_harmless,5,0.1852,-0.09450958669185638,0.09450958669185638,0.03177424147725105,0.5638057589530945,True,t_post_inst,t_post_inst,True
R_control,R_control_harmless,6,0.2222,-0.103904128074646,0.103904128074646,0.03177424147725105,0.5970450043678284,True,t_post_inst,t_post_inst,True
R_control,R_control_harmless,7,0.2593,-0.1242673248052597,0.1242673248052597,0.03177424147725105,0.6083372831344604,True,t_post_inst,t_post_inst,True
R_control,R_control_harmless,8,0.2963,-0.16541355848312378,0.16541355848312378,0.03177424147725105,0.6536146998405457,True,t_post_inst,t_post_inst,True
R_control,R_control_harmless,9,0.3333,-0.09285914152860641,0.09285914152860641,0.03177424147725105,0.7025991678237915,True,t_post_inst,t_post_inst,True
R_control,R_control_harmless,10,0.3704,-0.0413370244204998,0.0413370244204998,0.03177424147725105,0.7000824213027954,True,t_post_inst,t_post_inst,True
R_control,R_control_harmless,11,0.4074,0.02108519896864891,0.02108519896864891,0.03177424147725105,0.6878952383995056,False,t_post_inst,t_post_inst,True
R_control,R_control_harmless,12,0.4444,0.008761253207921982,0.008761253207921982,0.03177424147725105,0.6765754818916321,False,t_post_inst,t_post_inst,True
R_control,R_control_harmless,13,0.4815,0.15301278233528137,0.15301278233528137,0.03177424147725105,0.6879198551177979,True,t_post_inst,t_post_inst,True
R_control,R_control_harmless,14,0.5185,0.29331719875335693,0.29331719875335693,0.03177424147725105,0.7532275319099426,True,t_post_inst,t_post_inst,True
R_control,R_control_harmless,15,0.5556,0.46073582768440247,0.46073582768440247,0.03177424147725105,0.8175762891769409,True,t_post_inst,t_post_inst,True
R_control,R_control_harmless,16,0.5926,0.5297240018844604,0.5297240018844604,0.03177424147725105,0.8447245359420776,True,t_post_inst,t_post_inst,True
R_control,R_control_harmless,17,0.6296,0.6014490127563477,0.6014490127563477,0.03177424147725105,0.8733235597610474,True,t_post_inst,t_post_inst,True
R_control,R_control_harmless,18,0.6667,0.6886215806007385,0.6886215806007385,0.03177424147725105,0.9371529817581176,True,t_post_inst,t_post_inst,True
R_control,R_control_harmless,19,0.7037,0.6981353163719177,0.6981353163719177,0.03177424147725105,0.9397007822990416,True,t_post_inst,t_post_inst,True
R_control,R_control_harmless,20,0.7407,0.7190631628036499,0.7190631628036499,0.03177424147725105,0.9466384649276732,True,t_post_inst,t_post_inst,True
R_control,R_control_harmless,21,0.7778,0.6947147846221924,0.6947147846221924,0.03177424147725105,0.9438082575798036,True,t_post_inst,t_post_inst,True
R_control,R_control_harmless,22,0.8148,0.6716128587722778,0.6716128587722778,0.03177424147725105,0.93771630525589,True,t_post_inst,t_post_inst,True
R_control,R_control_harmless,23,0.8519,0.7237837314605713,0.7237837314605713,0.03177424147725105,0.943701446056366,True,t_post_inst,t_post_inst,True
R_control,R_control_harmless,24,0.8889,0.7173646092414856,0.7173646092414856,0.03177424147725105,0.9420490264892578,True,t_post_inst,t_post_inst,True
R_control,R_control_harmless,25,0.9259,0.7083861827850342,0.7083861827850342,0.03177424147725105,0.9415515661239624,True,t_post_inst,t_post_inst,True
R_control,R_control_harmless,26,0.963,0.6760566234588623,0.6760566234588623,0.03177424147725105,0.9354459643363952,True,t_post_inst,t_post_inst,True
R_control,R_control_harmless,27,1.0,0.6801702976226807,0.6801702976226807,0.03177424147725105,0.9298394322395324,True,t_post_inst,t_post_inst,True
R_control,R_control_preguard,0,0.0,0.8366333246231079,0.8366333246231079,0.03177424147725105,0.8220481872558594,True,t_post_inst,t_post_inst,True
R_control,R_control_preguard,1,0.037,0.843862771987915,0.843862771987915,0.03177424147725105,0.7897539734840393,True,t_post_inst,t_post_inst,True
R_control,R_control_preguard,2,0.0741,0.8505240678787231,0.8505240678787231,0.03177424147725105,0.7727996706962585,True,t_post_inst,t_post_inst,True
R_control,R_control_preguard,3,0.1111,0.8553011417388916,0.8553011417388916,0.03177424147725105,0.7718900442123413,True,t_post_inst,t_post_inst,True
R_control,R_control_preguard,4,0.1481,0.844915509223938,0.844915509223938,0.03177424147725105,0.744530975818634,True,t_post_inst,t_post_inst,True
R_control,R_control_preguard,5,0.1852,0.8101538419723511,0.8101538419723511,0.03177424147725105,0.7889321446418762,True,t_post_inst,t_post_inst,True
R_control,R_control_preguard,6,0.2222,0.8334029912948608,0.8334029912948608,0.03177424147725105,0.7830798625946045,True,t_post_inst,t_post_inst,True
R_control,R_control_preguard,7,0.2593,0.848645806312561,0.848645806312561,0.03177424147725105,0.8006145358085632,True,t_post_inst,t_post_inst,True
R_control,R_control_preguard,8,0.2963,0.8192101716995239,0.8192101716995239,0.03177424147725105,0.7835728526115417,True,t_post_inst,t_post_inst,True
R_control,R_control_preguard,9,0.3333,0.776024580001831,0.776024580001831,0.03177424147725105,0.733785092830658,True,t_post_inst,t_post_inst,True
R_control,R_control_preguard,10,0.3704,0.759096622467041,0.759096622467041,0.03177424147725105,0.7148844599723816,True,t_post_inst,t_post_inst,True
R_control,R_control_preguard,11,0.4074,0.7502098679542542,0.7502098679542542,0.03177424147725105,0.7332113981246948,True,t_post_inst,t_post_inst,True
R_control,R_control_preguard,12,0.4444,0.7777103185653687,0.7777103185653687,0.03177424147725105,0.7586361169815063,True,t_post_inst,t_post_inst,True
R_control,R_control_preguard,13,0.4815,0.7949451208114624,0.7949451208114624,0.03177424147725105,0.8520153760910034,True,t_post_inst,t_post_inst,True
R_control,R_control_preguard,14,0.5185,0.8565942049026489,0.8565942049026489,0.03177424147725105,0.9103854298591614,True,t_post_inst,t_post_inst,True
R_control,R_control_preguard,15,0.5556,0.8971765041351318,0.8971765041351318,0.03177424147725105,0.9330968856811525,True,t_post_inst,t_post_inst,True
R_control,R_control_preguard,16,0.5926,0.9242077469825745,0.9242077469825745,0.03177424147725105,0.9486418962478638,True,t_post_inst,t_post_inst,True
R_control,R_control_preguard,17,0.6296,0.9449836015701294,0.9449836015701294,0.03177424147725105,0.9633119702339172,True,t_post_inst,t_post_inst,True
R_control,R_control_preguard,18,0.6667,0.9600160121917725,0.9600160121917725,0.03177424147725105,0.9748777151107788,True,t_post_inst,t_post_inst,True
R_control,R_control_preguard,19,0.7037,0.9612118601799011,0.9612118601799011,0.03177424147725105,0.9769220352172852,True,t_post_inst,t_post_inst,True
R_control,R_control_preguard,20,0.7407,0.9692707657814026,0.9692707657814026,0.03177424147725105,0.9826434850692748,True,t_post_inst,t_post_inst,True
R_control,R_control_preguard,21,0.7778,0.9682466983795166,0.9682466983795166,0.03177424147725105,0.9817975163459778,True,t_post_inst,t_post_inst,True
R_control,R_control_preguard,22,0.8148,0.9637807607650757,0.9637807607650757,0.03177424147725105,0.979856014251709,True,t_post_inst,t_post_inst,True
R_control,R_control_preguard,23,0.8519,0.9681232571601868,0.9681232571601868,0.03177424147725105,0.9820910692214966,True,t_post_inst,t_post_inst,True
R_control,R_control_preguard,24,0.8889,0.9684923887252808,0.9684923887252808,0.03177424147725105,0.9812159538269044,True,t_post_inst,t_post_inst,True
R_control,R_control_preguard,25,0.9259,0.9681145548820496,0.9681145548820496,0.03177424147725105,0.9796737432479858,True,t_post_inst,t_post_inst,True
R_control,R_control_preguard,26,0.963,0.965423047542572,0.965423047542572,0.03177424147725105,0.9765125513076782,True,t_post_inst,t_post_inst,True
R_control,R_control_preguard,27,1.0,0.9588566422462463,0.9588566422462463,0.03177424147725105,0.9729852676391602,True,t_post_inst,t_post_inst,True
R_control,R_control_unbalanced,0,0.0,0.8718999624252319,0.8718999624252319,0.03177424147725105,0.8220481872558594,True,t_post_inst,t_post_inst,True
R_control,R_control_unbalanced,1,0.037,0.8747305274009705,0.8747305274009705,0.03177424147725105,0.7897539734840393,True,t_post_inst,t_post_inst,True
R_control,R_control_unbalanced,2,0.0741,0.8783156871795654,0.8783156871795654,0.03177424147725105,0.7727996706962585,True,t_post_inst,t_post_inst,True
R_control,R_control_unbalanced,3,0.1111,0.8524338006973267,0.8524338006973267,0.03177424147725105,0.7718900442123413,True,t_post_inst,t_post_inst,True
R_control,R_control_unbalanced,4,0.1481,0.8464614152908325,0.8464614152908325,0.03177424147725105,0.744530975818634,True,t_post_inst,t_post_inst,True
R_control,R_control_unbalanced,5,0.1852,0.855150043964386,0.855150043964386,0.03177424147725105,0.7889321446418762,True,t_post_inst,t_post_inst,True
R_control,R_control_unbalanced,6,0.2222,0.8467630743980408,0.8467630743980408,0.03177424147725105,0.7830798625946045,True,t_post_inst,t_post_inst,True
R_control,R_control_unbalanced,7,0.2593,0.8826733231544495,0.8826733231544495,0.03177424147725105,0.8006145358085632,True,t_post_inst,t_post_inst,True
R_control,R_control_unbalanced,8,0.2963,0.8948298692703247,0.8948298692703247,0.03177424147725105,0.7835728526115417,True,t_post_inst,t_post_inst,True
R_control,R_control_unbalanced,9,0.3333,0.8822858929634094,0.8822858929634094,0.03177424147725105,0.733785092830658,True,t_post_inst,t_post_inst,True
R_control,R_control_unbalanced,10,0.3704,0.8832664489746094,0.8832664489746094,0.03177424147725105,0.7148844599723816,True,t_post_inst,t_post_inst,True
R_control,R_control_unbalanced,11,0.4074,0.883238673210144,0.883238673210144,0.03177424147725105,0.7332113981246948,True,t_post_inst,t_post_inst,True
R_control,R_control_unbalanced,12,0.4444,0.8904256820678711,0.8904256820678711,0.03177424147725105,0.7586361169815063,True,t_post_inst,t_post_inst,True
R_control,R_control_unbalanced,13,0.4815,0.9496690630912781,0.9496690630912781,0.03177424147725105,0.8520153760910034,True,t_post_inst,t_post_inst,True
R_control,R_control_unbalanced,14,0.5185,0.9769004583358765,0.9769004583358765,0.03177424147725105,0.9103854298591614,True,t_post_inst,t_post_inst,True
R_control,R_control_unbalanced,15,0.5556,0.9810038208961487,0.9810038208961487,0.03177424147725105,0.9330968856811525,True,t_post_inst,t_post_inst,True
R_control,R_control_unbalanced,16,0.5926,0.9867458939552307,0.9867458939552307,0.03177424147725105,0.9486418962478638,True,t_post_inst,t_post_inst,True
R_control,R_control_unbalanced,17,0.6296,0.9912773370742798,0.9912773370742798,0.03177424147725105,0.9633119702339172,True,t_post_inst,t_post_inst,True
R_control,R_control_unbalanced,18,0.6667,0.9948039054870605,0.9948039054870605,0.03177424147725105,0.9748777151107788,True,t_post_inst,t_post_inst,True
R_control,R_control_unbalanced,19,0.7037,0.9961773753166199,0.9961773753166199,0.03177424147725105,0.9769220352172852,True,t_post_inst,t_post_inst,True
R_control,R_control_unbalanced,20,0.7407,0.9973955154418945,0.9973955154418945,0.03177424147725105,0.9826434850692748,True,t_post_inst,t_post_inst,True
R_control,R_control_unbalanced,21,0.7778,0.997592568397522,0.997592568397522,0.03177424147725105,0.9817975163459778,True,t_post_inst,t_post_inst,True
R_control,R_control_unbalanced,22,0.8148,0.9978081583976746,0.9978081583976746,0.03177424147725105,0.979856014251709,True,t_post_inst,t_post_inst,True
R_control,R_control_unbalanced,23,0.8519,0.9981579780578613,0.9981579780578613,0.03177424147725105,0.9820910692214966,True,t_post_inst,t_post_inst,True
R_control,R_control_unbalanced,24,0.8889,0.9983500242233276,0.9983500242233276,0.03177424147725105,0.9812159538269044,True,t_post_inst,t_post_inst,True
R_control,R_control_unbalanced,25,0.9259,0.9980945587158203,0.9980945587158203,0.03177424147725105,0.9796737432479858,True,t_post_inst,t_post_inst,True
R_control,R_control_unbalanced,26,0.963,0.9980695247650146,0.9980695247650146,0.03177424147725105,0.9765125513076782,True,t_post_inst,t_post_inst,True
R_control,R_control_unbalanced,27,1.0,0.9979488253593445,0.9979488253593445,0.03177424147725105,0.9729852676391602,True,t_post_inst,t_post_inst,True
R_control,R_harm,0,0.0,-0.12276117503643036,0.12276117503643036,0.03177424147725105,0.8220481872558594,True,t_post_inst,t_inst,False
R_control,R_harm,1,0.037,-0.21181729435920715,0.21181729435920715,0.03177424147725105,0.7897539734840393,True,t_post_inst,t_inst,False
R_control,R_harm,2,0.0741,-0.09016898274421692,0.09016898274421692,0.03177424147725105,0.7727996706962585,True,t_post_inst,t_inst,False
