model,concept,layer,n_strata,r_eff_stratified,auc_after_projecting_out_top1,mean_pairwise_cos
qwen2.5-7b,R_harm,16,24,3.3023595809936523,0.5127847194671631,0.9840325117111206
qwen2.5-7b,R_harm_user,16,21,15.146145820617676,0.496055543422699,0.9837377071380615
qwen2.5-7b,R_control,20,26,5.67894983291626,0.5265375971794128,0.9757660627365112
qwen2.5-7b,R_harm_at_post,16,24,2.7952706813812256,0.4885680675506592,0.9760400056838989
qwen2.5-7b,R_control_harmless,22,26,4.030401229858398,0.5871772766113281,0.9169570803642273
qwen2.5-7b,R_control_unbalanced,20,26,5.67894983291626,0.49403104186058044,0.9757660627365112
qwen2.5-7b,R_control_preguard,20,27,3.677457332611084,0.6006896495819092,0.9609670639038086
