model,stage,steer_layer,relative_depth,source,alpha,mean_kl,margin_shift
qwen2.5-7b,A,12,0.4444,R_control,1.0,0.08275409042835236,1.6359374523162842
qwen2.5-7b,A,12,0.4444,R_control,-1.0,0.1933138072490692,-1.60546875
qwen2.5-7b,A,12,0.4444,R_role,1.0,0.3002926707267761,1.2041015625
qwen2.5-7b,A,12,0.4444,R_role,-1.0,0.21922516822814941,-0.22636719048023224
qwen2.5-7b,A,13,0.4815,R_harm,1.0,0.9062532186508179,3.6138672828674316
qwen2.5-7b,A,13,0.4815,R_harm,-1.0,1.074454426765442,-2.164257764816284
qwen2.5-7b,A,13,0.4815,R_control,1.0,0.6220340132713318,4.547461032867432
qwen2.5-7b,A,13,0.4815,R_control,-1.0,0.9764555096626282,-4.413866996765137
qwen2.5-7b,A,13,0.4815,R_role,1.0,1.5550850629806519,-0.2177734375
qwen2.5-7b,A,13,0.4815,R_role,-1.0,0.5364358425140381,0.502148449420929
qwen2.5-7b,A,14,0.5185,R_harm,1.0,3.0254807472229004,10.845898628234863
qwen2.5-7b,A,14,0.5185,R_harm,-1.0,2.1648194789886475,-4.317773342132568
qwen2.5-7b,A,14,0.5185,R_control,1.0,1.8734409809112549,10.074804306030273
qwen2.5-7b,A,14,0.5185,R_control,-1.0,2.568579912185669,-7.561327934265137
qwen2.5-7b,A,14,0.5185,R_role,1.0,1.0509769916534424,0.533007800579071
qwen2.5-7b,A,14,0.5185,R_role,-1.0,0.5532239675521851,0.5708984136581421
qwen2.5-7b,A,15,0.5556,R_harm,1.0,3.392322063446045,11.745898246765137
qwen2.5-7b,A,15,0.5556,R_harm,-1.0,2.0821821689605713,-4.616796970367432
qwen2.5-7b,A,15,0.5556,R_control,1.0,2.245856285095215,10.545117378234863
qwen2.5-7b,A,15,0.5556,R_control,-1.0,2.4537770748138428,-8.583203315734863
qwen2.5-7b,A,15,0.5556,R_role,1.0,0.6708678603172302,0.949023425579071
qwen2.5-7b,A,15,0.5556,R_role,-1.0,0.45778775215148926,0.783398449420929
qwen2.5-7b,A,16,0.5926,R_harm,1.0,4.138208389282227,12.250585556030273
qwen2.5-7b,A,16,0.5926,R_harm,-1.0,1.8962455987930298,-4.573632717132568
qwen2.5-7b,A,16,0.5926,R_control,1.0,3.4469971656799316,12.753320693969727
qwen2.5-7b,A,16,0.5926,R_control,-1.0,2.036771297454834,-8.571680068969727
qwen2.5-7b,A,16,0.5926,R_role,1.0,0.791781485080719,0.5044921636581421
qwen2.5-7b,A,16,0.5926,R_role,-1.0,0.3845214247703552,0.4248046875
qwen2.5-7b,A,17,0.6296,R_harm,1.0,2.292302370071411,9.959179878234863
qwen2.5-7b,A,17,0.6296,R_harm,-1.0,1.6601457595825195,-4.485131740570068
qwen2.5-7b,A,17,0.6296,R_control,1.0,1.6645898818969727,10.781835556030273
qwen2.5-7b,A,17,0.6296,R_control,-1.0,1.611217737197876,-8.4111328125
qwen2.5-7b,A,17,0.6296,R_role,1.0,0.837873101234436,1.5314452648162842
qwen2.5-7b,A,17,0.6296,R_role,-1.0,0.3801857531070709,-0.607226550579071
qwen2.5-7b,A,18,0.6667,R_harm,1.0,3.661419630050659,12.123242378234863
qwen2.5-7b,A,18,0.6667,R_harm,-1.0,3.9557182788848877,-11.085351943969727
qwen2.5-7b,A,18,0.6667,R_control,1.0,4.27895450592041,15.845898628234863
qwen2.5-7b,A,18,0.6667,R_control,-1.0,3.8787243366241455,-13.649999618530273
qwen2.5-7b,A,18,0.6667,R_role,1.0,0.5947389006614685,1.4013671875
qwen2.5-7b,A,18,0.6667,R_role,-1.0,0.19974245131015778,-0.14082030951976776
qwen2.5-7b,A,19,0.7037,R_harm,1.0,2.3048830032348633,10.9951171875
qwen2.5-7b,A,19,0.7037,R_harm,-1.0,3.1735992431640625,-9.872655868530273
qwen2.5-7b,A,19,0.7037,R_control,1.0,2.257216691970825,12.6435546875
qwen2.5-7b,A,19,0.7037,R_control,-1.0,3.014829397201538,-12.307226181030273
qwen2.5-7b,A,19,0.7037,R_role,1.0,0.3682849705219269,1.1533203125
qwen2.5-7b,A,19,0.7037,R_role,-1.0,0.14016780257225037,-0.05429687350988388
qwen2.5-7b,A,20,0.7407,R_harm,1.0,1.9822670221328735,11.192773818969727
qwen2.5-7b,A,20,0.7407,R_harm,-1.0,2.7743070125579834,-10.1025390625
qwen2.5-7b,A,20,0.7407,R_control,1.0,2.7435059547424316,13.6083984375
qwen2.5-7b,A,20,0.7407,R_control,-1.0,3.6927313804626465,-13.313867568969727
qwen2.5-7b,A,20,0.7407,R_role,1.0,0.32820597290992737,1.1623046398162842
qwen2.5-7b,A,20,0.7407,R_role,-1.0,0.15822526812553406,-0.15898437798023224
qwen2.5-7b,A,21,0.7778,R_harm,1.0,1.7667725086212158,11.046679496765137
qwen2.5-7b,A,21,0.7778,R_harm,-1.0,2.590155601501465,-9.854687690734863
qwen2.5-7b,A,21,0.7778,R_control,1.0,2.2557082176208496,12.569726943969727
qwen2.5-7b,A,21,0.7778,R_control,-1.0,3.4437060356140137,-12.318163871765137
qwen2.5-7b,A,21,0.7778,R_role,1.0,0.23707787692546844,0.913867175579071
qwen2.5-7b,A,21,0.7778,R_role,-1.0,0.11175443232059479,-0.2591796815395355
qwen2.5-7b,A,22,0.8148,R_harm,1.0,1.2795486450195312,10.953710556030273
qwen2.5-7b,A,22,0.8148,R_harm,-1.0,2.041285991668701,-10.322851181030273
qwen2.5-7b,A,22,0.8148,R_control,1.0,1.84360671043396,12.819726943969727
qwen2.5-7b,A,22,0.8148,R_control,-1.0,3.2840895652770996,-13.142773628234863
qwen2.5-7b,A,22,0.8148,R_role,1.0,0.19032813608646393,0.37324219942092896
qwen2.5-7b,A,22,0.8148,R_role,-1.0,0.09310133755207062,0.126953125
qwen2.5-7b,A,23,0.8519,R_harm,1.0,1.2004387378692627,12.246679306030273
qwen2.5-7b,A,23,0.8519,R_harm,-1.0,1.6024833917617798,-10.976611137390137
qwen2.5-7b,A,23,0.8519,R_control,1.0,2.290381908416748,15.6865234375
qwen2.5-7b,A,23,0.8519,R_control,-1.0,2.9412992000579834,-13.659863471984863
qwen2.5-7b,A,23,0.8519,R_role,1.0,0.11169067770242691,0.9273437261581421
qwen2.5-7b,A,23,0.8519,R_role,-1.0,0.06947223097085953,-0.4613281190395355
qwen2.5-7b,A,24,0.8889,R_harm,1.0,1.2594083547592163,12.306055068969727
qwen2.5-7b,A,24,0.8889,R_harm,-1.0,1.3770148754119873,-10.851391792297363
qwen2.5-7b,A,24,0.8889,R_control,1.0,2.707322835922241,16.768945693969727
qwen2.5-7b,A,24,0.8889,R_control,-1.0,2.9605696201324463,-14.269335746765137
qwen2.5-7b,A,24,0.8889,R_role,1.0,0.08879601210355759,1.3517577648162842
qwen2.5-7b,A,24,0.8889,R_role,-1.0,0.059126146137714386,-0.6314452886581421
qwen2.5-7b,A,25,0.9259,R_harm,1.0,1.4013292789459229,12.430273056030273
qwen2.5-7b,A,25,0.9259,R_harm,-1.0,1.4801838397979736,-6.982226371765137
qwen2.5-7b,A,25,0.9259,R_control,1.0,3.2853469848632812,18.294336318969727
qwen2.5-7b,A,25,0.9259,R_control,-1.0,3.1780333518981934,-11.911523818969727
qwen2.5-7b,A,25,0.9259,R_role,1.0,0.07436338812112808,0.7247070074081421
qwen2.5-7b,A,25,0.9259,R_role,-1.0,0.05057074502110481,-0.2513671815395355
qwen2.5-7b,A,26,0.963,R_harm,1.0,0.979975700378418,11.902148246765137
qwen2.5-7b,A,26,0.963,R_harm,-1.0,1.2364675998687744,-6.200585842132568
qwen2.5-7b,A,26,0.963,R_control,1.0,2.457277774810791,17.678028106689453
qwen2.5-7b,A,26,0.963,R_control,-1.0,2.740935802459717,-11.528711318969727
qwen2.5-7b,A,26,0.963,R_role,1.0,0.06633572280406952,0.17265625298023224
qwen2.5-7b,A,26,0.963,R_role,-1.0,0.04879385977983475,0.14667968451976776
